Q2 [GeV 2 ] d 2 (Q 2 ) · 10 −3
0.17       3.7  ± 1.6 ± 2.1
0.20       3.9  ± 0.8 ± 2.5
0.24       4.9  ± 1   ± 3.6
0.30       8    ± 1   ± 4.8
0.35       9.3  ± 0.9 ± 5.4
0.42       10.2 ± 2   ± 6.3
0.50       12.3 ± 1.8 ± 8
0.60       14.4 ± 1.4 ± 9
0.70       14.6 ± 1.2 ± 9.6
0.84       14.4 ± 1.2 ± 10
1.00       14.4 ± 1   ± 11
1.20       11.6 ± 1.2 ± 11
1.40       10   ± 1.2 ± 11
1.70       6.8  ± 1.5 ± 11
2.40       3.7  ± 1.3 ± 12
3.00       2.9  ± 1   ± 12
3.50       3.9  ± 0.5 ± 17
4.20       1.4  ± 1.1 ± 13
5.00       3.5  ± 1.6 ± 15
6.00       1.3  ± 1.3 ± 15
10.00      1.7  ± 1.2 ± 18
15.50      0.6  ± 0.7 ± 22
30.00      0.3  ± 0.9 ± 30
























