
*****     Ratio of extracted neutron structure function F2n to deuteron structure function F2d for 4 GeV beam energy  (see Fig. 17 top)     ******								
								
W*2	Q2	x*	F2n/F2d	stat.	syst.			
5.712	0.423	0.079	0.005	0.005	0.001			
5.067	0.505	0.113	0.211	0.255	0.001			
5.151	0.508	0.111	0.097	0.166	0.001			
5.427	0.513	0.104	0.336	0.373	0.001			
5.553	0.513	0.102	0.652	0.326	0.003			
2.718	0.611	0.257	0.531	0.862	0.004			
3.135	0.629	0.218	0.714	0.393	0.005			
3.213	0.628	0.212	0.384	0.27	0.003			
3.348	0.624	0.204	0.727	0.325	0.005			
3.418	0.627	0.197	0.669	0.288	0.004			
3.499	0.624	0.191	0.34	0.181	0.002			
3.563	0.626	0.188	0.328	0.17	0.002			
3.632	0.625	0.185	0.24	0.13	0.001			
3.725	0.626	0.179	0.323	0.129	0.002			
3.818	0.625	0.177	0.24	0.108	0.001			
3.882	0.626	0.171	0.429	0.131	0.002			
3.962	0.625	0.167	0.235	0.089	0.001			
4.048	0.625	0.164	0.279	0.086	0.002			
4.116	0.625	0.162	0.444	0.099	0.002			
4.199	0.624	0.159	0.286	0.074	0.002			
4.277	0.624	0.154	0.387	0.078	0.002			
4.373	0.623	0.15	0.382	0.072	0.002			
4.455	0.623	0.147	0.488	0.071	0.002			
4.536	0.622	0.144	0.283	0.056	0.001			
4.622	0.621	0.142	0.375	0.057	0.002			
4.71	0.62	0.138	0.388	0.053	0.002			
4.792	0.619	0.136	0.431	0.052	0.002			
4.887	0.618	0.133	0.434	0.05	0.002			
4.975	0.617	0.13	0.409	0.046	0.002			
5.06	0.616	0.127	0.395	0.042	0.002			
5.153	0.615	0.125	0.371	0.04	0.002			
5.241	0.614	0.122	0.365	0.038	0.002			
5.353	0.612	0.12	11.827	13.707	0.051			
5.434	0.61	0.117	20.101	5.975	0.086			
1.317	0.755	0.625	0.214	0.292	0.01			
1.372	0.753	0.599	0.441	0.263	0.019			
1.411	0.752	0.585	0.207	0.204	0.008			
1.466	0.751	0.556	1.033	0.281	0.036			
1.513	0.752	0.537	0.52	0.189	0.017			
1.559	0.751	0.519	0.708	0.19	0.021			
1.617	0.75	0.498	0.632	0.18	0.017			
1.654	0.75	0.488	0.38	0.134	0.009			
1.72	0.75	0.467	0.166	0.094	0.004			
1.767	0.749	0.451	0.206	0.105	0.004			
1.828	0.749	0.44	0.345	0.112	0.007			
1.867	0.748	0.428	0.296	0.106	0.006			
1.936	0.747	0.412	0.324	0.108	0.006			
1.992	0.748	0.396	0.191	0.083	0.003			
2.05	0.747	0.388	0.468	0.098	0.007			
2.105	0.746	0.376	0.34	0.085	0.005			
2.159	0.746	0.365	0.367	0.08	0.005			
2.22	0.745	0.355	0.472	0.082	0.006			
2.279	0.744	0.345	0.392	0.071	0.005			
2.339	0.743	0.336	0.352	0.065	0.004			
2.398	0.742	0.326	0.332	0.059	0.004			
2.461	0.742	0.317	0.541	0.07	0.006			
2.528	0.741	0.308	0.368	0.058	0.004			
2.591	0.739	0.3	0.464	0.06	0.005			
2.654	0.738	0.291	0.397	0.054	0.004			
2.723	0.738	0.284	0.342	0.05	0.003			
2.789	0.737	0.277	0.367	0.049	0.003			
2.857	0.736	0.269	0.429	0.048	0.004			
2.924	0.735	0.262	0.429	0.047	0.004			
2.992	0.734	0.256	0.444	0.045	0.004			
3.061	0.733	0.249	0.472	0.044	0.004			
3.134	0.732	0.244	0.353	0.038	0.003			
3.205	0.731	0.238	0.397	0.039	0.003			
3.276	0.73	0.231	0.377	0.036	0.003			
3.347	0.729	0.226	0.348	0.035	0.003			
3.424	0.728	0.221	0.385	0.035	0.003			
3.498	0.727	0.216	0.455	0.037	0.003			
3.574	0.726	0.21	0.464	0.036	0.003			
3.651	0.725	0.206	0.42	0.034	0.003			
3.725	0.723	0.202	0.452	0.034	0.003			
3.803	0.722	0.196	0.442	0.033	0.003			
3.881	0.721	0.192	0.456	0.033	0.003			
3.96	0.719	0.188	0.434	0.032	0.003			
4.04	0.718	0.183	0.411	0.031	0.002			
4.118	0.717	0.18	0.433	0.031	0.002			
4.204	0.716	0.176	0.437	0.03	0.002			
4.284	0.714	0.173	0.394	0.029	0.002			
4.367	0.713	0.169	0.449	0.03	0.002			
4.455	0.712	0.165	0.43	0.029	0.002			
4.538	0.712	0.163	0.447	0.029	0.002			
4.622	0.711	0.159	0.468	0.029	0.002			
4.71	0.712	0.156	0.45	0.028	0.002			
4.794	0.711	0.153	0.437	0.028	0.002			
4.884	0.711	0.15	0.375	0.026	0.002			
4.97	0.71	0.147	0.41	0.027	0.002			
5.063	0.709	0.145	0.432	0.027	0.002			
5.154	0.709	0.142	0.471	0.028	0.002			
5.246	0.708	0.139	0.481	0.029	0.002			
1.235	0.865	0.7	0.16	0.04	0.011			
1.279	0.863	0.676	0.323	0.06	0.02			
1.323	0.863	0.652	0.432	0.062	0.024			
1.37	0.862	0.629	0.632	0.062	0.031			
1.418	0.861	0.609	0.653	0.056	0.03			
1.465	0.861	0.59	0.736	0.054	0.03			
1.515	0.859	0.571	0.749	0.051	0.028			
1.562	0.859	0.552	0.609	0.044	0.021			
1.613	0.858	0.534	0.498	0.039	0.016			
1.664	0.858	0.518	0.477	0.038	0.014			
1.715	0.857	0.501	0.452	0.037	0.012			
1.77	0.857	0.486	0.472	0.038	0.012			
1.822	0.856	0.473	0.424	0.037	0.01			
1.879	0.855	0.457	0.365	0.035	0.008			
1.933	0.854	0.444	0.4	0.037	0.008			
1.987	0.853	0.431	0.377	0.035	0.007			
2.045	0.853	0.419	0.405	0.036	0.007			
2.102	0.852	0.408	0.436	0.035	0.008			
2.158	0.851	0.396	0.375	0.032	0.006			
2.22	0.85	0.384	0.466	0.034	0.007			
2.281	0.849	0.374	0.445	0.031	0.007			
2.34	0.849	0.365	0.447	0.031	0.006			
2.402	0.848	0.356	0.406	0.03	0.005			
2.467	0.847	0.345	0.383	0.028	0.005			
2.528	0.847	0.338	0.398	0.029	0.005			
2.594	0.846	0.329	0.402	0.029	0.005			
2.656	0.846	0.321	0.418	0.029	0.005			
2.724	0.845	0.313	0.441	0.029	0.005			
2.788	0.845	0.304	0.459	0.029	0.005			
2.855	0.845	0.298	0.435	0.028	0.004			
2.923	0.845	0.293	0.473	0.029	0.005			
2.991	0.845	0.284	0.421	0.027	0.004			
3.061	0.845	0.277	0.38	0.025	0.004			
3.132	0.845	0.272	0.418	0.026	0.004			
3.204	0.845	0.266	0.371	0.025	0.003			
3.275	0.845	0.259	0.383	0.025	0.003			
3.349	0.845	0.254	0.391	0.025	0.003			
3.424	0.845	0.248	0.405	0.026	0.003			
3.497	0.845	0.243	0.444	0.027	0.003			
3.572	0.845	0.237	0.397	0.026	0.003			
3.647	0.844	0.232	0.427	0.026	0.003			
3.727	0.844	0.227	0.458	0.027	0.003			
3.805	0.843	0.223	0.429	0.027	0.003			
3.881	0.843	0.218	0.438	0.026	0.003			
3.959	0.842	0.214	0.422	0.026	0.003			
