CLAS physics database search results
Measurement E128M1
E1b(E-91-023)
V. Burkert, D. Crabb, R. Minehart
2001

Q^2	Gamma_1^p_meas	Data errors	Systematic errors
GeV2	dimensionless	dimensionless	dimensionless
0.05	-0.0126	0.0021	0.0047
0.06	-0.0116	0.0017	0.0062
0.07	-0.0175	0.002	0.0049
0.084	-0.0195	0.002	0.0067
0.1	-0.0144	0.002	0.0053
0.12	-0.0154	0.0022	0.0055
0.14	-0.0146	0.0023	0.0067
0.17	-0.0141	0.0021	0.0089
0.2	-0.0163	0.0014	0.0074
0.24	-0.0121	0.0012	0.0081
0.3	-0.0085	0.001	0.008
0.35	-0.005	0.001	0.0086
0.42	-0.0019	0.001	0.0089
0.5	0.0008	0.0009	0.0089
0.6	0.0016	0.001	0.0094
0.7	0.0481	0.0038	0.0079
0.84	0.0485	0.003	0.0073
1	0.0588	0.0028	0.0072
1.2	0.0645	0.0025	0.0072
1.4	0.0667	0.002	0.007
1.7	0.0621	0.0016	0.0065
2	0.0589	0.0013	0.0061
2.4	0.0475	0.0011	0.0055
3	0.0368	0.0009	0.0052
3.5	0.0262	0.0008	0.0051
4.2	0.0191	0.0009	0.0054
