CLAS physics database search results
Measurement E128M3
E1b(E-91-023)
V. Burkert, D. Crabb, R. Minehart
2001

Q^2	Gamma_1^p_tot	Data errors	Systematic errors
GeV2	dimensionless	dimensionless	dimensionless
0.05	-0.0126	0.0021	0.0047
0.06	-0.0116	0.0017	0.0062
0.07	-0.0175	0.002	0.0049
0.084	-0.0193	0.002	0.0067
0.1	-0.0141	0.002	0.0053
0.12	-0.0145	0.0022	0.0055
0.14	-0.0129	0.0023	0.0067
0.17	-0.0108	0.0021	0.0089
0.2	-0.0112	0.0014	0.0074
0.24	-0.0035	0.0012	0.0081
0.3	0.0059	0.001	0.008
0.35	0.0139	0.001	0.0086
0.42	0.0252	0.001	0.0089
0.5	0.0363	0.0009	0.0089
0.6	0.0461	0.001	0.0094
0.7	0.0639	0.0038	0.0079
0.84	0.0693	0.003	0.0073
1	0.0849	0.0028	0.0072
1.2	0.0979	0.0025	0.0072
1.4	0.1065	0.002	0.007
1.7	0.1121	0.0016	0.0065
2	0.1201	0.0013	0.0061
2.4	0.1207	0.0011	0.0055
3	0.1265	0.0009	0.0052
3.5	0.1281	0.0008	0.0051
4.2	0.1349	0.0009	0.0054
