Path: /HepData/3087/d1-x1-y1
The measured photon asymmetry (A1+ETA*A2) for the Q**2 region 0.15 to 0.22 GeV**2 obtained with a beam energy of 2.6 GeV.
Location: F 1
Q**2 IN GEV**2 : 0.15 TO 0.22
RE : E- P --> E- X
PLAB : 2.6 GeV
x: W(P=4) IN GEV
y: (A1+ETA*A2)
x	xlow	xhigh	y	dy+	dy-	dy+	dy-	
1.1	1.1	1.1	-0.636425	+0.24881	-0.24881	+0.23	-0.23
1.14	1.14	1.14	-0.5738366	+0.248	-0.248	+0.1	-0.1
1.18	1.18	1.18	-0.424861	+0.1338218	-0.1338218	+0.07	-0.07
1.26	1.26	1.26	-0.4104419	+0.1044	-0.1044	+0.06	-0.06
1.22	1.22	1.22	-0.4385285	+0.105	-0.105	+0.07	-0.07
1.26	1.26	1.26	-0.1067598	+0.114	-0.114	+0.02648644	-0.02648644
1.3	1.3	1.3	-0.05651112	+0.1262664	-0.1262664	+0.0186041	-0.0186041
1.34	1.34	1.34	0.04135435	+0.1075	-0.1075	+0.018	-0.018
1.38	1.38	1.38	-0.07906306	+0.107538	-0.107538	+0.02074	-0.02074
1.42	1.42	1.42	0.007468469	+0.08753687	-0.08753687	+0.01777847	-0.01777847
1.46	1.46	1.46	0.003754059	+0.0666566	-0.0666566	+0.01242873	-0.01242873
1.5	1.5	1.5	0.01639453	+0.0664034	-0.0664034	+0.01463	-0.01463
1.54	1.54	1.54	0.01709433	+0.0665	-0.0665	+0.015738	-0.015738
1.58	1.58	1.58	0.02524298	+0.0676	-0.0676	+0.014526	-0.014526
1.62	1.62	1.62	0.02129971	+0.05	-0.05	+0.01225611	-0.01225611
1.66	1.66	1.66	-0.003676819	+0.05478	-0.05478	+0.01	-0.01
1.7	1.7	1.7	-0.01709835	+0.058408	-0.058408	+0.01135	-0.01135
1.74	1.74	1.74	0.0240343	+0.0552620	-0.0552620	+0.0127992	-0.0127992
1.78	1.78	1.78	0.06193202	+0.05466131	-0.05466131	+0.016734	-0.016734
1.82	1.82	1.82	-0.03451247	+0.0512488	-0.0512488	+0.0176307	-0.0176307
1.86	1.86	1.86	-0.02516174	+0.05434	-0.05434	+0.0201	-0.0201
1.9	1.9	1.9	-0.03242375	+0.05442525	-0.05442525	+0.020176	-0.020176
1.94	1.94	1.94	-0.03529964	+0.061311	-0.061311	+0.017	-0.017
1.98	1.98	1.98	-0.01774363	+0.0434	-0.0434	+0.0136	-0.0136
2.02	2.02	2.02	0.1015765	+0.043	-0.043	+0.02247525	-0.02247525

Path: /HepData/3087/d2-x1-y1
The measured photon asymmetry (A1+ETA*A2) for the Q**2 region 0.6 to 1.10 GeV**2 obtained with a beam energy of 4.3 GeV.
Location: F 1
Q**2 IN GEV**2 : 0.6 TO 1.10
RE : E- P --> E- X
PLAB : 4.3 GeV
x: W(P=4) IN GEV
y: (A1+ETA*A2)
x	xlow	xhigh	y	dy+	dy-	dy+	dy-	
1.1	1.1	1.1	-0.8690705	+0.487	-0.487	+0.233615	-0.233615
1.14	1.14	1.14	-0.1897002	+0.3	-0.3	+0.114	-0.114
1.18	1.18	1.18	-0.4699619	+0.1	-0.1	+0.07584245	-0.07584245
1.26	1.26	1.26	-0.1034205	+0.1	-0.1	+0.02862442	-0.02862442
1.22	1.22	1.22	0.0407503	+0.127	-0.127	+0.0345	-0.0345
1.26	1.26	1.26	0.0473641	+0.139883	-0.139883	+0.041	-0.041
1.3	1.3	1.3	0.3569434	+0.172474	-0.172474	+0.05316178	-0.05316178
1.34	1.34	1.34	0.2971303	+0.15336	-0.15336	+0.05514262	-0.05514262
1.38	1.38	1.38	0.4285906	+0.16	-0.16	+0.0631300	-0.0631300
1.42	1.42	1.42	0.3845901	+0.1515617	-0.1515617	+0.05156675	-0.05156675
1.46	1.46	1.46	0.5798982	+0.124	-0.124	+0.0674	-0.0674
1.5	1.5	1.5	0.4050949	+0.0	-0.0	+0.0480	-0.0480
1.54	1.54	1.54	0.4344973	+0.0	-0.0	+0.044146	-0.044146
1.58	1.58	1.58	0.4763345	+0.0	-0.0	+0.05702	-0.05702
1.62	1.62	1.62	0.4159092	+0.0	-0.0	+0.0434792	-0.0434792
1.66	1.66	1.66	0.3156779	+0.070	-0.070	+0.035	-0.035
1.7	1.7	1.7	0.5180607	+0.08	-0.08	+0.052362	-0.052362
1.74	1.74	1.74	0.3863154	+0.07768851	-0.07768851	+0.04487585	-0.04487585
1.78	1.78	1.78	0.3282347	+0.0817	-0.0817	+0.03	-0.03
1.82	1.82	1.82	0.3014538	+0.07533447	-0.07533447	+0.03526635	-0.03526635
1.86	1.86	1.86	0.2942011	+0.06477737	-0.06477737	+0.03375727	-0.03375727
1.9	1.9	1.9	0.2243837	+0.0650	-0.0650	+0.027808	-0.027808
1.94	1.94	1.94	0.2212715	+0.0610	-0.0610	+0.024	-0.024
1.98	1.98	1.98	0.2598089	+0.06183	-0.06183	+0.0267201	-0.0267201
2.02	2.02	2.02	0.191288	+0.059504	-0.059504	+0.0196	-0.0196
2.06	2.06	2.06	0.3484639	+0.05383373	-0.05383373	+0.03458	-0.03458
2.1	2.1	2.1	0.2857043	+0.0585648	-0.0585648	+0.03124445	-0.03124445
2.14	2.14	2.14	0.3049844	+0.051338	-0.051338	+0.034	-0.034
2.18	2.18	2.18	0.2658292	+0.05268385	-0.05268385	+0.03	-0.03
2.22	2.22	2.22	0.2430954	+0.0506	-0.0506	+0.0315	-0.0315
2.26	2.26	2.26	0.2170711	+0.0486862	-0.0486862	+0.02844225	-0.02844225
2.3	2.3	2.3	0.1895691	+0.044081	-0.044081	+0.02413	-0.02413
2.34	2.34	2.34	0.2421625	+0.0462	-0.0462	+0.031576	-0.031576
2.38	2.38	2.38	0.1996478	+0.04	-0.04	+0.0285883	-0.0285883
2.42	2.42	2.42	0.1563709	+0.04	-0.04	+0.03061	-0.03061
2.46	2.46	2.46	0.248692	+0.056634	-0.056634	+0.04	-0.04
2.5	2.5	2.5	0.2210182	+0.05268711	-0.05268711	+0.05781	-0.05781
2.54	2.54	2.54	0.1609937	+0.04874338	-0.04874338	+0.0451	-0.0451

Path: /HepData/3087/d3-x1-y1
The polarized structure function G1 as a function of Bjorken X for the Q**2range 0.15 to 0.27 GeV.
Location: F 2
PLAB IN GEV : 2.6 + 4.3
Q**2 IN GEV**2 : 0.15 TO 0.27
RE : E- P --> E- X
x: X
y: G1
x	xlow	xhigh	y	dy+	dy-	dy+	dy-	
0.05356	0.05356	0.05356	0.00856	+0.08823	-0.08823	+0.02336	-0.02336
0.05607	0.05607	0.05607	0.10981	+0.04328	-0.04328	+0.02253	-0.02253
0.05876	0.05876	0.05876	-0.01588	+0.038	-0.038	+0.0147	-0.0147
0.06166	0.06166	0.06166	0.06446	+0.04528	-0.04528	+0.022	-0.022
0.06479	0.06479	0.06479	-0.02119	+0.04372	-0.04372	+0.02288	-0.02288
0.06819	0.06819	0.06819	0.02047	+0.04518	-0.04518	+0.0222	-0.0222
0.07188	0.07188	0.07188	0.00997	+0.03	-0.03	+0.01	-0.01
0.0759	0.0759	0.0759	0.08023	+0.0384	-0.0384	+0.01	-0.01
0.08029	0.08029	0.08029	0.04386	+0.03	-0.03	+0.015	-0.015
0.08511	0.08511	0.08511	0.04797	+0.041	-0.041	+0.01473	-0.01473
0.09041	0.09041	0.09041	0.1136	+0.046	-0.046	+0.01742	-0.01742
0.09626	0.09626	0.09626	0.02039	+0.04544	-0.04544	+0.01552	-0.01552
0.10276	0.10276	0.10276	0.06247	+0.04	-0.04	+0.0188	-0.0188
0.11	0.11	0.11	0.06244	+0.03718	-0.03718	+0.0218	-0.0218
0.11812	0.11812	0.11812	0.07196	+0.04275	-0.04275	+0.0232	-0.0232
0.12727	0.12727	0.12727	0.07802	+0.047	-0.047	+0.02565	-0.02565
0.13765	0.13765	0.13765	0.05255	+0.04	-0.04	+0.02225	-0.02225
0.14952	0.14952	0.14952	0.0237	+0.0352	-0.0352	+0.0193	-0.0193
0.1632	0.1632	0.1632	0.04814	+0.033	-0.033	+0.01722	-0.01722
0.17912	0.17912	0.17912	0.00181	+0.034	-0.034	+0.01666	-0.01666
0.19785	0.19785	0.19785	-0.0212	+0.03	-0.03	+0.018	-0.018
0.22017	0.22017	0.22017	-0.16429	+0.04464	-0.04464	+0.0484	-0.0484
0.2472	0.2472	0.2472	-0.3039	+0.04	-0.04	+0.081	-0.081
0.28052	0.28052	0.28052	-0.12435	+0.02813	-0.02813	+0.0277	-0.0277
0.32255	0.32255	0.32255	-0.02296	+0.01371	-0.01371	+0.00811	-0.00811
0.3771	0.3771	0.3771	-0.00433	+0.002	-0.002	+0.00285	-0.00285

Path: /HepData/3087/d4-x1-y1
The polarized structure function G1 as a function of Bjorken X for the Q**2range 0.27 to 0.50 GeV.
Location: F 2
PLAB IN GEV : 2.6 + 4.3
Q**2 IN GEV**2 : 0.27 TO 0.50
RE : E- P --> E- X
x: X
y: G1
x	xlow	xhigh	y	dy+	dy-	dy+	dy-	
0.06073	0.06073	0.06073	0.15266	+0.06714	-0.06714	+0.02575	-0.02575
0.06282	0.06282	0.06282	0.18562	+0.0730	-0.0730	+0.02275	-0.02275
0.06503	0.06503	0.06503	0.02952	+0.07	-0.07	+0.01876	-0.01876
0.06735	0.06735	0.06735	0.13251	+0.06	-0.06	+0.018	-0.018
0.06981	0.06981	0.06981	0.07094	+0.071	-0.071	+0.017	-0.017
0.07241	0.07241	0.07241	0.30053	+0.067	-0.067	+0.02154	-0.02154
0.07516	0.07516	0.07516	0.10806	+0.06666	-0.06666	+0.01664	-0.01664
0.07808	0.07808	0.07808	0.10211	+0.066	-0.066	+0.01624	-0.01624
0.08117	0.08117	0.08117	0.17152	+0.07262	-0.07262	+0.017	-0.017
0.08446	0.08446	0.08446	0.04926	+0.06534	-0.06534	+0.01628	-0.01628
0.08796	0.08796	0.08796	0.14807	+0.06	-0.06	+0.01688	-0.01688
0.09169	0.09169	0.09169	0.17061	+0.0707	-0.0707	+0.01838	-0.01838
0.09568	0.09568	0.09568	0.09381	+0.03252	-0.03252	+0.01782	-0.01782
0.09994	0.09994	0.09994	0.07945	+0.021	-0.021	+0.01368	-0.01368
0.1045	0.1045	0.1045	0.06239	+0.01846	-0.01846	+0.01	-0.01
0.1094	0.1094	0.1094	0.07629	+0.0182	-0.0182	+0.022	-0.022
0.11467	0.11467	0.11467	0.09008	+0.01777	-0.01777	+0.02456	-0.02456
0.12034	0.12034	0.12034	0.07511	+0.01752	-0.01752	+0.0210	-0.0210
0.12647	0.12647	0.12647	0.09216	+0.01835	-0.01835	+0.03177	-0.03177
0.1331	0.1331	0.1331	0.08894	+0.01823	-0.01823	+0.02271	-0.02271
