Path: /HepData/8277/d1-x1-y1
The measured photon asymmetry (A1+ETA*A2) for the Q**2 region 0.15 to 0.22 GeV**2 obtained with a beam energy of 2.6 GeV.
Location: F 1
PLAB : 2.6 GeV
Q**2 : 0.15 - 0.22 GeV^2
RE : E- P --> E- X
x: W(P=4) IN GEV
y : (A1+ETA*A2)
x	xlow	xhigh	y	dy+	dy-	dy+	dy-	
1.1	1.1	1.1	-0.636425	+0.2488105	-0.2488105	+0.2395132	-0.2395132
1.14	1.14	1.14	-0.5738366	+0.2480233	-0.2480233	+0.1037121	-0.1037121
1.18	1.18	1.18	-0.424861	+0.1338218	-0.1338218	+0.07054158	-0.07054158
1.26	1.26	1.26	-0.4104419	+0.1044967	-0.1044967	+0.06902346	-0.06902346
1.22	1.22	1.22	-0.4385285	+0.1059728	-0.1059728	+0.07001818	-0.07001818
1.26	1.26	1.26	-0.1067598	+0.114071	-0.114071	+0.02648644	-0.02648644
1.3	1.3	1.3	-0.05651112	+0.1262664	-0.1262664	+0.01860419	-0.01860419
1.34	1.34	1.34	0.04135435	+0.1075965	-0.1075965	+0.01894834	-0.01894834
1.38	1.38	1.38	-0.07906306	+0.1075389	-0.1075389	+0.02074013	-0.02074013
1.42	1.42	1.42	0.007468469	+0.08753687	-0.08753687	+0.01777847	-0.01777847
1.46	1.46	1.46	0.003754059	+0.0666566	-0.0666566	+0.01242873	-0.01242873
1.5	1.5	1.5	0.01639453	+0.06640349	-0.06640349	+0.01463953	-0.01463953
1.54	1.54	1.54	0.01709433	+0.0665958	-0.0665958	+0.0157389	-0.0157389
1.58	1.58	1.58	0.02524298	+0.06760236	-0.06760236	+0.01452692	-0.01452692
1.62	1.62	1.62	0.02129971	+0.05996184	-0.05996184	+0.01225611	-0.01225611
1.66	1.66	1.66	-0.003676819	+0.05478958	-0.05478958	+0.0105213	-0.0105213
1.7	1.7	1.7	-0.01709835	+0.05840805	-0.05840805	+0.01135992	-0.01135992
1.74	1.74	1.74	0.0240343	+0.05526209	-0.05526209	+0.01279929	-0.01279929
1.78	1.78	1.78	0.06193202	+0.05466131	-0.05466131	+0.01673498	-0.01673498
1.82	1.82	1.82	-0.03451247	+0.0512488	-0.0512488	+0.01763079	-0.01763079
1.86	1.86	1.86	-0.02516174	+0.05434954	-0.05434954	+0.02010187	-0.02010187
1.9	1.9	1.9	-0.03242375	+0.05442525	-0.05442525	+0.02017699	-0.02017699
1.94	1.94	1.94	-0.03529964	+0.06131104	-0.06131104	+0.01795401	-0.01795401
1.98	1.98	1.98	-0.01774363	+0.04349385	-0.04349385	+0.01369966	-0.01369966
2.02	2.02	2.02	0.1015765	+0.04302257	-0.04302257	+0.02247525	-0.02247525

