Path: /HepData/8277/d6-x1-y1
The polarized structure function G1 as a function of Bjorken X for the Q**2range 0.74 to 1.10 GeV.
Location: F 2
PLAB IN GEV : 2.6 + 4.3
Q**2 : 0.74 - 1.1 GeV^2
RE : E- P --> E- X
x: X
y : G1
x	xlow	xhigh	y	dy+	dy-	dy+	dy-	
0.15953	0.15953	0.15953	0.24296	+0.04376	-0.04376	+0.02083	-0.02083
0.16501	0.16501	0.16501	0.14236	+0.03939	-0.03939	+0.01131	-0.01131
0.17076	0.17076	0.17076	0.19332	+0.04246	-0.04246	+0.01162	-0.01162
0.17683	0.17683	0.17683	0.19523	+0.04378	-0.04378	+0.01108	-0.01108
0.18322	0.18322	0.18322	0.18535	+0.0414	-0.0414	+0.00902	-0.00902
0.18997	0.18997	0.18997	0.20069	+0.03969	-0.03969	+0.00903	-0.00903
0.19709	0.19709	0.19709	0.20718	+0.04298	-0.04298	+0.0097	-0.0097
0.20462	0.20462	0.20462	0.21316	+0.03893	-0.03893	+0.01028	-0.01028
0.2126	0.2126	0.2126	0.14969	+0.04119	-0.04119	+0.00843	-0.00843
0.22104	0.22104	0.22104	0.17838	+0.03998	-0.03998	+0.00696	-0.00696
0.23	0.23	0.23	0.17269	+0.03962	-0.03962	+0.01279	-0.01279
0.23951	0.23951	0.23951	0.14613	+0.02768	-0.02768	+0.01482	-0.01482
0.24962	0.24962	0.24962	0.11103	+0.02055	-0.02055	+0.02749	-0.02749
0.26038	0.26038	0.26038	0.11842	+0.02186	-0.02186	+0.02093	-0.02093
0.27186	0.27186	0.27186	0.1563	+0.01792	-0.01792	+0.0215	-0.0215
0.2841	0.2841	0.2841	0.15773	+0.01587	-0.01587	+0.02197	-0.02197
0.29719	0.29719	0.29719	0.17503	+0.01534	-0.01534	+0.01413	-0.01413
0.31121	0.31121	0.31121	0.20365	+0.01684	-0.01684	+0.02433	-0.02433
0.32623	0.32623	0.32623	0.12529	+0.01486	-0.01486	+0.02896	-0.02896
0.34237	0.34237	0.34237	0.14153	+0.01301	-0.01301	+0.02097	-0.02097
0.35973	0.35973	0.35973	0.13605	+0.01161	-0.01161	+0.02057	-0.02057
0.37844	0.37844	0.37844	0.15996	+0.01265	-0.01265	+0.02606	-0.02606
0.39864	0.39864	0.39864	0.18703	+0.01453	-0.01453	+0.02183	-0.02183
0.42049	0.42049	0.42049	0.10959	+0.01142	-0.01142	+0.01266	-0.01266
0.44418	0.44418	0.44418	0.0598	+0.00981	-0.00981	+0.00529	-0.00529
0.46992	0.46992	0.46992	0.02789	+0.00886	-0.00886	+0.00569	-0.00569
0.49796	0.49796	0.49796	0.04361	+0.00801	-0.00801	+0.00951	-0.00951
0.52856	0.52856	0.52856	0.00584	+0.00889	-0.00889	+0.00343	-0.00343
0.56206	0.56206	0.56206	-0.011	+0.0097	-0.0097	+0.01177	-0.01177
0.59883	0.59883	0.59883	-0.05825	+0.01043	-0.01043	+0.01146	-0.01146
0.6393	0.6393	0.6393	-0.03624	+0.00795	-0.00795	+0.00869	-0.00869
0.68398	0.68398	0.68398	-0.0076	+0.00431	-0.00431	+0.00262	-0.00262
0.73347	0.73347	0.73347	2.9E-4	+7.9E-4	-7.9E-4	+9.6E-4	-9.6E-4

