Path: /HepData/8277/d8-x1-y1
G1 as a function of W and Bjorken X for a mean Q**2 = 2.047370 GeV**2.
Location: F 3
PLAB IN GEV : 2.6 + 4.3
PLAB IN GEV : 2.6 + 4.3
PLAB IN GEV : 2.6 + 4.3
PLAB IN GEV : 2.6 + 4.3
PLAB IN GEV : 2.6 + 4.3
PLAB IN GEV : 2.6 + 4.3
PLAB IN GEV : 2.6 + 4.3
PLAB IN GEV : 2.6 + 4.3
PLAB IN GEV : 2.6 + 4.3
PLAB IN GEV : 2.6 + 4.3
PLAB IN GEV : 2.6 + 4.3
PLAB IN GEV : 2.6 + 4.3
PLAB IN GEV : 2.6 + 4.3
PLAB IN GEV : 2.6 + 4.3
PLAB IN GEV : 2.6 + 4.3
Q**2 : 0.166116 GeV^2
Q**2 : 0.200237 GeV^2
Q**2 : 0.245349 GeV^2
Q**2 : 0.299227 GeV^2
Q**2 : 0.37027 GeV^2
Q**2 : 0.470418 GeV^2
Q**2 : 0.548732 GeV^2
Q**2 : 0.664122 GeV^2
Q**2 : 0.811666 GeV^2
Q**2 : 0.986427 GeV^2
Q**2 : 1.1 - 1.64 GeV^2
Q**2 : 1.20255 GeV^2
Q**2 : 1.46071 GeV^2
Q**2 : 1.73676 GeV^2
Q**2 : 2.04737 GeV^2
RE : E- P --> E- X
RE : E- P --> E- X
RE : E- P --> E- X
RE : E- P --> E- X
RE : E- P --> E- X
RE : E- P --> E- X
RE : E- P --> E- X
RE : E- P --> E- X
RE : E- P --> E- X
RE : E- P --> E- X
RE : E- P --> E- X
RE : E- P --> E- X
RE : E- P --> E- X
RE : E- P --> E- X
RE : E- P --> E- X
x: W(P=4) IN GEV
x2: X
y : G1
x	xlow	xhigh	x2	x2low	x2high	y	dy+	dy-	dy+	dy-	
1.09	1.09	1.09	0.869137	0.869137	0.869137	6.97E-4	+0.001228	-0.001228	+9.9E-5	-9.9E-5
1.11	1.11	1.11	0.8532	0.8532	0.8532	0.001959	+0.006306	-0.006306	+4.0E-4	-4.0E-4
1.13	1.13	1.13	0.837562	0.837562	0.837562	-0.004045	+0.003315	-0.003315	+5.61E-4	-5.61E-4
1.15	1.15	1.15	0.822223	0.822223	0.822223	0.003971	+0.003884	-0.003884	+4.48E-4	-4.48E-4
1.17	1.17	1.17	0.807182	0.807182	0.807182	0.003859	+0.01215	-0.01215	+7.43E-4	-7.43E-4
1.19	1.19	1.19	0.792435	0.792435	0.792435	0.011453	+0.01314	-0.01314	+0.001905	-0.001905
1.21	1.21	1.21	0.777981	0.777981	0.777981	-0.013916	+0.01181	-0.01181	+0.002078	-0.002078
1.23	1.23	1.23	0.763816	0.763816	0.763816	-0.007156	+0.015031	-0.015031	+0.001126	-0.001126
1.25	1.25	1.25	0.749939	0.749939	0.749939	0.02466	+0.015488	-0.015488	+0.003057	-0.003057
1.27	1.27	1.27	0.736345	0.736345	0.736345	0.034342	+0.024897	-0.024897	+0.003911	-0.003911
1.29	1.29	1.29	0.72303	0.72303	0.72303	0.009167	+0.014213	-0.014213	+0.001157	-0.001157
1.31	1.31	1.31	0.709991	0.709991	0.709991	0.0189	+0.012791	-0.012791	+0.001724	-0.001724
1.33	1.33	1.33	0.697225	0.697225	0.697225	3.66E-4	+0.00983	-0.00983	+5.99E-4	-5.99E-4
1.35	1.35	1.35	0.684726	0.684726	0.684726	0.020232	+0.013739	-0.013739	+0.001971	-0.001971
1.37	1.37	1.37	0.67249	0.67249	0.67249	0.025874	+0.010847	-0.010847	+0.00236	-0.00236
1.39	1.39	1.39	0.660514	0.660514	0.660514	-6.45E-4	+0.017272	-0.017272	+8.81E-4	-8.81E-4
1.41	1.41	1.41	0.648792	0.648792	0.648792	0.011186	+0.012342	-0.012342	+0.001188	-0.001188
1.43	1.43	1.43	0.63732	0.63732	0.63732	0.044457	+0.017145	-0.017145	+0.004544	-0.004544
1.45	1.45	1.45	0.626094	0.626094	0.626094	0.05158	+0.018017	-0.018017	+0.005119	-0.005119
1.47	1.47	1.47	0.615108	0.615108	0.615108	0.050987	+0.015501	-0.015501	+0.004411	-0.004411
1.49	1.49	1.49	0.604359	0.604359	0.604359	0.074531	+0.018872	-0.018872	+0.006113	-0.006113
