Path: /HepData/7076/d108-x1-y1
A1 and g1/F1 for the DEUT target at incident energy 5.7000 GeV and W = 1.2750 GeV
Location: F 1, 2, 3, 4
ELAB : 5.7 GeV
RE : E- DEUT --> E- X
W : 1.275 GeV
x: X
x2: Q**2 IN GEV**2
y : A1 : G1/F1
x	xlow	xhigh	x2	x2low	x2high	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	
0.4873	0.4873	0.4873	0.707	0.707	0.707	-1.4938	+0.8065	-0.8065	+0.2761	-0.2761	-0.6605	+0.361	-0.361	+0.1203	-0.1203
0.5315	0.5315	0.5315	0.844	0.844	0.844	0.8817	+0.8209	-0.8209	+0.1617	-0.1617	0.4062	+0.3681	-0.3681	+0.0705	-0.0705
0.5759	0.5759	0.5759	1.01	1.01	1.01	0.1313	+0.9032	-0.9032	+0.0596	-0.0596	0.0719	+0.4091	-0.4091	+0.0154	-0.0154
0.6173	0.6173	0.6173	1.2	1.2	1.2	1.0763	+1.0434	-1.0434	+0.172	-0.172	0.5089	+0.481	-0.481	+0.0772	-0.0772
0.6594	0.6594	0.6594	1.44	1.44	1.44	-0.3254	+0.8618	-0.8618	+0.1267	-0.1267	-0.1346	+0.4107	-0.4107	+0.0542	-0.0542
0.6968	0.6968	0.6968	1.71	1.71	1.71	-2.7176	+0.8111	-0.8111	+0.3466	-0.3466	-1.318	+0.3996	-0.3996	+0.1688	-0.1688
0.7337	0.7337	0.7337	2.05	2.05	2.05	-0.4308	+0.9129	-0.9129	+0.1277	-0.1277	-0.2078	+0.4675	-0.4675	+0.0608	-0.0608
0.7664	0.7664	0.7664	2.44	2.44	2.44	-0.3292	+0.9992	-0.9992	+0.3273	-0.3273	-0.1585	+0.5328	-0.5328	+0.1748	-0.1748
0.797	0.797	0.797	2.92	2.92	2.92	-0.1023	+1.1556	-1.1556	+0.1454	-0.1454	-0.0355	+0.6451	-0.6451	+0.08	-0.08
0.8239	0.8239	0.8239	3.48	3.48	3.48	2.3137	+1.6804	-1.6804	+0.4056	-0.4056	1.3717	+0.9868	-0.9868	+0.2408	-0.2408
0.8483	0.8483	0.8483	4.16	4.16	4.16	-1.1545	+1.8657	-1.8657	+0.5677	-0.5677	-0.6983	+1.1484	-1.1484	+0.3533	-0.3533

