Path: /HepData/7076/d36-x1-y1
A1 and g1/F1 for the P target at incident energy 5.7000 GeV and W = 1.5250 GeV
Location: F 1, 2, 3, 4
ELAB : 5.7 GeV
RE : E- P --> E- X
W : 1.525 GeV
sqrts : 1.525 GeV
x: X
x2: Q**2 IN GEV**2
y : A1 : G1/F1
xdesc	x	xlow	xhigh	x2desc	x2	x2low	x2high	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	
	0.3287	0.3287	0.3287		0.707	0.707	0.707	0.5584	+0.0842	-0.0842	+0.0734	-0.0734	0.384	+0.0547	-0.0547	+0.0342	-0.0342
	0.3689	0.3689	0.3689		0.844	0.844	0.844	0.4581	+0.0759	-0.0759	+0.0725	-0.0725	0.3135	+0.0485	-0.0485	+0.0313	-0.0313
	0.4116	0.4116	0.4116		1.01	1.01	1.01	0.591	+0.0895	-0.0895	+0.0771	-0.0771	0.3934	+0.0563	-0.0563	+0.0331	-0.0331
	0.4539	0.4539	0.4539		1.2	1.2	1.2	0.9578	+0.0992	-0.0992	+0.0739	-0.0739	0.6194	+0.0618	-0.0618	+0.0422	-0.0422
	0.4993	0.4993	0.4993		1.44	1.44	1.44	0.7125	+0.09	-0.09	+0.0734	-0.0734	0.4658	+0.056	-0.056	+0.0364	-0.0364
	0.5422	0.5422	0.5422		1.71	1.71	1.71	0.9496	+0.0943	-0.0943	+0.0726	-0.0726	0.615	+0.0587	-0.0587	+0.0417	-0.0417
	0.5867	0.5867	0.5867		2.05	2.05	2.05	0.8598	+0.0921	-0.0921	+0.0698	-0.0698	0.5637	+0.0579	-0.0579	+0.0434	-0.0434
	0.6282	0.6282	0.6282		2.44	2.44	2.44	0.7875	+0.1031	-0.1031	+0.0643	-0.0643	0.5244	+0.0657	-0.0657	+0.0463	-0.0463
	0.6691	0.6691	0.6691		2.92	2.92	2.92	0.714	+0.1168	-0.1168	+0.061	-0.061	0.4855	+0.0759	-0.0759	+0.0501	-0.0501
	0.7068	0.7068	0.7068		3.48	3.48	3.48	0.6508	+0.0997	-0.0997	+0.0543	-0.0543	0.4527	+0.0662	-0.0662	+0.0443	-0.0443
	0.7423	0.7423	0.7423		4.16	4.16	4.16	0.9564	+0.1816	-0.1816	+0.0911	-0.0911	0.671	+0.1239	-0.1239	+0.0688	-0.0688
	0.7745	0.7745	0.7745		4.96	4.96	4.96	0.5128	+0.1437	-0.1437	+0.0493	-0.0493	0.3765	+0.1008	-0.1008	+0.1051	-0.1051

