Path: /HepData/7076/d46-x1-y1
A1 and g1/F1 for the P target at incident energy 5.7000 GeV and W = 2.0250 GeV
Location: F 1, 2, 3, 4
ELAB : 5.7 GeV
RE : E- P --> E- X
W : 2.025 GeV
sqrts : 2.025 GeV
x: X
x2: Q**2 IN GEV**2
y : A1 : G1/F1
x	xlow	xhigh	x2	x2low	x2high	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	
0.1801	0.1801	0.1801	0.707	0.707	0.707	0.1648	+0.047	-0.047	+0.0284	-0.0284	0.1807	+0.0405	-0.0405	+0.0218	-0.0218
0.2077	0.2077	0.2077	0.844	0.844	0.844	0.265	+0.0511	-0.0511	+0.0307	-0.0307	0.2645	+0.0433	-0.0433	+0.0236	-0.0236
0.2388	0.2388	0.2388	1.01	1.01	1.01	0.1963	+0.0519	-0.0519	+0.0323	-0.0323	0.2045	+0.0433	-0.0433	+0.0245	-0.0245
0.2716	0.2716	0.2716	1.2	1.2	1.2	0.2709	+0.0524	-0.0524	+0.038	-0.038	0.2638	+0.043	-0.043	+0.031	-0.031
0.3091	0.3091	0.3091	1.44	1.44	1.44	0.3469	+0.0476	-0.0476	+0.0385	-0.0385	0.3225	+0.0385	-0.0385	+0.031	-0.031
0.3469	0.3469	0.3469	1.71	1.71	1.71	0.3393	+0.0454	-0.0454	+0.0404	-0.0404	0.3129	+0.0363	-0.0363	+0.0324	-0.0324
0.3891	0.3891	0.3891	2.05	2.05	2.05	0.3996	+0.0562	-0.0562	+0.0445	-0.0445	0.3569	+0.0446	-0.0446	+0.0363	-0.0363
0.4312	0.4312	0.4312	2.44	2.44	2.44	0.4205	+0.0534	-0.0534	+0.0428	-0.0428	0.3689	+0.0421	-0.0421	+0.0346	-0.0346
0.4757	0.4757	0.4757	2.92	2.92	2.92	0.5214	+0.06	-0.06	+0.047	-0.047	0.4441	+0.0471	-0.0471	+0.0388	-0.0388
0.5195	0.5195	0.5195	3.48	3.48	3.48	0.5687	+0.0595	-0.0595	+0.0472	-0.0472	0.4781	+0.0468	-0.0468	+0.0394	-0.0394
0.5638	0.5638	0.5638	4.16	4.16	4.16	0.5105	+0.0859	-0.0859	+0.0545	-0.0545	0.4302	+0.0677	-0.0677	+0.0459	-0.0459

