Path: /HepData/7076/d69-x1-y1
A1 and g1/F1 for the DEUT target at incident energy 1.6000 GeV and W = 1.0850 GeV
Location: F 1, 2, 3, 4
ELAB : 1.6 GeV
RE : E- DEUT --> E- X
W : 1.085 GeV
x: X
x2: Q**2 IN GEV**2
y : A1 : G1/F1
xdesc	x	xlow	xhigh	x2desc	x2	x2low	x2high	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	
	0.1437	0.1437	0.1437		0.0496	0.0496	0.0496	-4.0897	+3.2359	-3.2359	+6.7112	-6.7112	-1.7962	+1.3107	-1.3107	+2.6836	-2.6836
	0.1669	0.1669	0.1669		0.0592	0.0592	0.0592	2.9002	+1.9186	-1.9186	+3.0487	-3.0487	0.9436	+0.7214	-0.7214	+1.1725	-1.1725
	0.1931	0.1931	0.1931		0.0707	0.0707	0.0707	1.7762	+1.672	-1.672	+1.4333	-1.4333	0.466	+0.5847	-0.5847	+0.5198	-0.5198
	0.2222	0.2222	0.2222		0.0844	0.0844	0.0844	-1.2347	+1.6117	-1.6117	+3.2547	-3.2547	-0.5537	+0.5263	-0.5263	+1.0214	-1.0214
	0.2547	0.2547	0.2547		0.101	0.101	0.101	3.5035	+1.5358	-1.5358	+3.7366	-3.7366	0.9288	+0.4703	-0.4703	+1.1717	-1.1717
	0.2888	0.2888	0.2888		0.12	0.12	0.12	-0.4503	+1.479	-1.479	+2.5033	-2.5033	-0.2689	+0.4285	-0.4285	+0.6859	-0.6859
	0.3276	0.3276	0.3276		0.144	0.144	0.144	1.0971	+1.4082	-1.4082	+0.4448	-0.4448	0.1695	+0.388	-0.388	+0.0759	-0.0759
	0.3666	0.3666	0.3666		0.171	0.171	0.171	0.6684	+1.3361	-1.3361	+0.9997	-0.9997	0.0489	+0.3543	-0.3543	+0.2197	-0.2197
	0.4096	0.4096	0.4096		0.205	0.205	0.205	-0.4035	+0.9567	-0.9567	+2.7533	-2.7533	-0.2285	+0.2462	-0.2462	+0.6749	-0.6749
	0.4523	0.4523	0.4523		0.244	0.244	0.244	0.779	+0.7676	-0.7676	+1.0298	-1.0298	0.0737	+0.194	-0.194	+0.2196	-0.2196
	0.497	0.497	0.497		0.292	0.292	0.292	0.782	+0.6131	-0.6131	+1.0604	-1.0604	0.0733	+0.1539	-0.1539	+0.2259	-0.2259
	0.5408	0.5408	0.5408		0.348	0.348	0.348	0.2942	+0.5951	-0.5951	+1.5749	-1.5749	-0.0503	+0.1501	-0.1501	+0.3609	-0.3609
	0.5847	0.5847	0.5847		0.416	0.416	0.416	0.5593	+0.5919	-0.5919	+1.1636	-1.1636	0.0132	+0.1518	-0.1518	+0.2602	-0.2602
	0.6267	0.6267	0.6267		0.496	0.496	0.496	-0.0274	+0.6591	-0.6591	+1.5385	-1.5385	-0.149	+0.1738	-0.1738	+0.3656	-0.3656
	0.667	0.667	0.667		0.592	0.592	0.592	0.6206	+0.6709	-0.6709	+0.7896	-0.7896	0.0319	+0.1838	-0.1838	+0.1784	-0.1784

