Path: /HepData/1323/d1-x1-y1
The measured virtual photon asymmetry (A1D+ETA*A2D) for the Q** region 0.27to 0.39 GeV**2.
Location: T 1, F 6
Q**2 IN GEV**2 : 0.27 TO 0.39
RE : E- DEUT --> E- X
x: W IN GEV
y : A1+ETA*A2
x	xlow	xhigh	y	dy+	dy-	dy+	dy-	
1.12	1.12	1.12	0.309	+0.53	-0.53	+0.207	-0.207
1.2	1.2	1.2	-0.273	+0.208	-0.208	+0.061	-0.061
1.28	1.28	1.28	-0.406	+0.169	-0.169	+0.081	-0.081
1.36	1.36	1.36	-0.223	+0.191	-0.191	+0.069	-0.069
1.44	1.44	1.44	-0.124	+0.161	-0.161	+0.028	-0.028
1.52	1.52	1.52	-0.077	+0.131	-0.131	+0.017	-0.017
1.6	1.6	1.6	-0.036	+0.119	-0.119	+0.015	-0.015
1.68	1.68	1.68	0.14	+0.102	-0.102	+0.023	-0.023
1.76	1.76	1.76	0.063	+0.101	-0.101	+0.011	-0.011
1.84	1.84	1.84	0.055	+0.086	-0.086	+0.017	-0.017
1.92	1.92	1.92	-0.254	+0.08	-0.08	+0.028	-0.028
2.0	2.0	2.0	-0.084	+0.072	-0.072	+0.009	-0.009

