Path: /HepData/1323/d2-x1-y1
The measured virtual photon asymmetry (A1D+ETA*A2D) for the Q** region 0.39to 0.65 GeV**2.
Location: T 2, F 5_6
Q**2 IN GEV**2 : 0.39 TO 0.65
RE : E- DEUT --> E- X
x: W IN GEV
y : A1+ETA*A2
x	xlow	xhigh	y	dy+	dy-	dy+	dy-	
1.12	1.12	1.12	-0.327	+0.267	-0.267	+0.191	-0.191
1.2	1.2	1.2	-0.411	+0.109	-0.109	+0.081	-0.081
1.28	1.28	1.28	-0.316	+0.09	-0.09	+0.061	-0.061
1.36	1.36	1.36	-0.07	+0.101	-0.101	+0.062	-0.062
1.44	1.44	1.44	0.086	+0.085	-0.085	+0.022	-0.022
1.52	1.52	1.52	0.144	+0.068	-0.068	+0.025	-0.025
1.6	1.6	1.6	0.147	+0.063	-0.063	+0.024	-0.024
1.68	1.68	1.68	0.061	+0.054	-0.054	+0.015	-0.015
1.76	1.76	1.76	0.006	+0.053	-0.053	+0.011	-0.011
1.84	1.84	1.84	0.024	+0.05	-0.05	+0.013	-0.013
1.92	1.92	1.92	-0.045	+0.047	-0.047	+0.013	-0.013

