Path: /HepData/1323/d4-x1-y1
The spin structure function G1D for the Q**2 region 0.27 to 0.39 GeV**2.
Location: T 4, F 7
Q**2 IN GEV**2 : 0.27 TO 0.39
RE : E- DEUT --> E- X
x: W IN GEV
y : G1
x	xlow	xhigh	y	dy+	dy-	dy+	dy-	
1.12	1.12	1.12	0.033	+0.058	-0.058	+0.042	-0.042
1.2	1.2	1.2	-0.115	+0.08	-0.08	+0.029	-0.029
1.28	1.28	1.28	-0.172	+0.074	-0.074	+0.033	-0.033
1.36	1.36	1.36	-0.08	+0.067	-0.067	+0.022	-0.022
1.44	1.44	1.44	-0.059	+0.067	-0.067	+0.015	-0.015
1.52	1.52	1.52	-0.04	+0.078	-0.078	+0.01	-0.01
1.6	1.6	1.6	-0.022	+0.073	-0.073	+0.013	-0.013
1.68	1.68	1.68	0.112	+0.074	-0.074	+0.02	-0.02
1.76	1.76	1.76	0.058	+0.075	-0.075	+0.011	-0.011
1.84	1.84	1.84	0.048	+0.065	-0.065	+0.015	-0.015
1.92	1.92	1.92	-0.202	+0.066	-0.066	+0.028	-0.028
2.0	2.0	2.0	-0.07	+0.066	-0.066	+0.012	-0.012

