Path: /HepData/3087/d3-x1-y1
The polarized structure function G1 as a function of Bjorken X for the Q**2range 0.15 to 0.27 GeV.
Location: F 2
PLAB IN GEV : 2.6 + 4.3
Q**2 IN GEV**2 : 0.15 TO 0.27
RE : E- P --> E- X
x: X
y: G1
x	xlow	xhigh	y	dy+	dy-	dy+	dy-	
0.05356	0.05356	0.05356	0.00856	+0.08823	-0.08823	+0.02336	-0.02336
0.05607	0.05607	0.05607	0.10981	+0.04328	-0.04328	+0.02253	-0.02253
0.05876	0.05876	0.05876	-0.01588	+0.038	-0.038	+0.0147	-0.0147
0.06166	0.06166	0.06166	0.06446	+0.04528	-0.04528	+0.022	-0.022
0.06479	0.06479	0.06479	-0.02119	+0.04372	-0.04372	+0.02288	-0.02288
0.06819	0.06819	0.06819	0.02047	+0.04518	-0.04518	+0.0222	-0.0222
0.07188	0.07188	0.07188	0.00997	+0.03	-0.03	+0.01	-0.01
0.0759	0.0759	0.0759	0.08023	+0.0384	-0.0384	+0.01	-0.01
0.08029	0.08029	0.08029	0.04386	+0.03	-0.03	+0.015	-0.015
0.08511	0.08511	0.08511	0.04797	+0.041	-0.041	+0.01473	-0.01473
0.09041	0.09041	0.09041	0.1136	+0.046	-0.046	+0.01742	-0.01742
0.09626	0.09626	0.09626	0.02039	+0.04544	-0.04544	+0.01552	-0.01552
0.10276	0.10276	0.10276	0.06247	+0.04	-0.04	+0.0188	-0.0188
0.11	0.11	0.11	0.06244	+0.03718	-0.03718	+0.0218	-0.0218
0.11812	0.11812	0.11812	0.07196	+0.04275	-0.04275	+0.0232	-0.0232
0.12727	0.12727	0.12727	0.07802	+0.047	-0.047	+0.02565	-0.02565
0.13765	0.13765	0.13765	0.05255	+0.04	-0.04	+0.02225	-0.02225
0.14952	0.14952	0.14952	0.0237	+0.0352	-0.0352	+0.0193	-0.0193
0.1632	0.1632	0.1632	0.04814	+0.033	-0.033	+0.01722	-0.01722
0.17912	0.17912	0.17912	0.00181	+0.034	-0.034	+0.01666	-0.01666
0.19785	0.19785	0.19785	-0.0212	+0.03	-0.03	+0.018	-0.018
