E,x_min,x_max,<x>,Q2,A1d,A1d(stat) ,A1d(syst),g1d,g1d(stat),g1d(syst)
160.0,0.003,0.0035,0.0033,0.78,0.003,0.009,0.004,0.09,0.24,0.107
160.0,0.0035,0.004,0.0038,0.83,-0.004,0.007,0.003,-0.097,0.183,0.082
160.0,0.004,0.005,0.0046,1.1,0.004,0.009,0.004,0.082,0.21,0.089
160.0,0.005,0.006,0.0055,1.22,0.003,0.007,0.003,0.062,0.146,0.062
160.0,0.006,0.008,0.007,1.39,-0.002,0.005,0.002,-0.034,0.086,0.036
160.0,0.008,0.01,0.009,1.61,-0.01,0.006,0.003,-0.139,0.078,0.035
160.0,0.01,0.02,0.0141,2.15,0.002,0.004,0.002,0.017,0.033,0.014
160.0,0.02,0.03,0.0244,3.18,0.003,0.006,0.003,0.017,0.035,0.015
160.0,0.03,0.04,0.0346,4.26,0.009,0.008,0.004,0.041,0.035,0.016
160.0,0.04,0.06,0.0487,5.8,0.017,0.008,0.004,0.054,0.026,0.012
160.0,0.06,0.1,0.0765,8.53,0.058,0.009,0.007,0.121,0.019,0.014
160.0,0.1,0.15,0.121,12.6,0.095,0.013,0.011,0.123,0.017,0.014
160.0,0.15,0.2,0.171,17.2,0.123,0.02,0.014,0.103,0.016,0.012
160.0,0.2,0.25,0.222,21.8,0.183,0.028,0.021,0.106,0.016,0.012
160.0,0.25,0.35,0.29,28.3,0.216,0.03,0.024,0.077,0.011,0.009
160.0,0.35,0.5,0.405,39.7,0.343,0.049,0.038,0.055,0.008,0.006
160.0,0.5,0.7,0.566,55.3,0.626,0.112,0.075,0.027,0.005,0.003
