       0.336	0.342	0.343	0.342	0.342
	2.161	2.190	2.194	2.191	2.193
	-0.171	-0.231	-0.278	-0.324	-0.371
7.5	120.74.7 	0.9	100.17.6 	2.1			
		-0.4		-2.5						
22.5	132.54.9 	3.7	106.96.8 	4.5			
		-0.0		-0.5						
37.5	118.74.5 	2.8	93.96.1 	0.2	58.77.0 	1.1	53.810.1 	0.7	68.821.3 	7.8
		-0.0		-1.6		-4.3		-9.3		-21.5
52.5	99.84.1 	1.3	76.95.0 	0.1	59.35.8 	1.5	48.67.3 	8.3	37.110.4 	5.3
		-1.9		-2.7		-1.1		-0.3		-13.4
67.5	88.43.8 	0.0	67.74.5 	2.2	54.45.1 	0.9	55.86.2 	6.5	40.67.0 	10.3
		-5.5		-1.3		-0.9		-0.0		-4.1
82.5	81.43.6 	0.5	55.13.9 	3.6	47.84.2 	0.0	34.24.4 	0.7	29.05.0 	5.0
		-0.7		-0.0		-2.6		-1.8		-3.9
97.5	62.73.1 	1.5	53.83.7 	1.2	36.73.6 	1.8	30.93.8 	0.0	27.04.3 	2.9
		-0.8		-0.7		-0.0		-1.1		-5.6
112.5	61.33.0 	0.6	40.33.1 	0.7	36.53.3 	0.0	28.63.4 	0.0	21.03.5 	2.1
		-1.5		-0.7		-1.4		-1.2		-5.2
127.5	58.13.0 	0.5	37.32.8 	0.0	25.92.6 	0.0	27.63.1 	0.8	18.82.9 	2.0
		-1.9		-3.7		-1.2		-0.6		-5.3
142.5	52.92.7 	2.8	33.62.7 	0.0	27.32.7 	1.0	26.73.0 	0.0	17.92.8 	2.3
		-0.0		-1.7		-0.5		-2.0		-2.5
157.5	43.92.6 	0.2	34.42.8 	0.7	29.22.8 	0.0	24.82.8 	1.0	18.73.0 	3.5
		-0.8		-0.6		-2.8		-0.0		-1.9
172.5	45.42.5 	0.0	31.92.6 	0.2	29.92.8 	0.3	23.52.8 	1.7	17.23.2 	2.8
		-1.2		-0.6		-0.2		-0.0		-2.0
187.5	41.02.4 	0.9	32.62.7 	0.5	27.72.8 	0.1	21.62.8 	1.4	16.22.9 	3.8
		-0.1		-0.3		-2.1		-0.0		-1.6
202.5	44.22.5 	0.9	37.12.8 	0.0	23.72.6 	0.1	29.23.0 	0.0	21.33.0 	4.2
		-0.9		-1.6		-0.5		-3.1		-2.6
217.5	51.62.7 	0.8	39.52.9 	0.1	31.22.8 	1.1	23.02.7 	0.0	17.72.8 	1.9
		-0.8		-2.0		-0.7		-2.1		-2.6
232.5	57.72.9 	0.6	41.53.0 	1.1	33.42.9 	0.0	29.33.0 	0.0	24.23.0 	2.4
		-0.8		-0.0		-1.9		-0.9		-3.7
247.5	56.92.9 	0.1	43.03.1 	1.4	30.93.0 	1.5	21.43.1 	0.5	22.53.4 	2.7
		-2.3		-0.0		-0.4		-0.7		-6.2
262.5	69.33.2 	0.0	50.93.5 	0.0	36.43.4 	0.7	30.43.9 	0.6	18.13.6 	1.8
		-3.7		-0.8		-1.2		-0.3		-4.4
277.5	77.03.5 	0.7	54.23.7 	0.5	48.53.9 	0.4	43.64.4 	0.1	32.84.5 	3.3
		-0.4		-2.0		-1.8		-3.2		-5.8
292.5	95.53.9 	2.5	67.84.2 	0.0	51.64.3 	3.3	55.05.6 	0.9	35.56.3 	5.6
		-0.0		-1.4		-0.2		-1.2		-5.5
307.5	103.14.0 	4.8	84.24.8 	0.0	60.35.4 	0.2	39.56.2 	0.5	43.18.7 	8.4
		-0.0		-6.6		-3.9		-2.9		-4.6
322.5	114.14.4 	0.4	90.75.5 	0.0	62.26.4 	0.0	70.19.9 	0.0	49.615.5 	8.6
		-1.7		-6.5		-8.6		-7.6		-15.8
337.5	117.84.6 	2.0	83.86.6 	0.0			
		-0.6		-5.6						
352.5	120.34.8 	0.2	87.97.4 	0.0			
		-0.7		-10.9
