 150 0.003 0.518 1.291 0.023 0.067 0.071
 150 0.005 0.331 1.115 0.020 0.037 0.042 
 150 0.008 0.207 0.924 0.027 0.082 0.086
 200 0.005 0.442 1.130 0.020 0.056 0.060
 200 0.008 0.276 0.922 0.018 0.032 0.037
 200 0.013 0.170 0.767 0.017 0.028 0.033
 200 0.020 0.110 0.696 0.018 0.034 0.038
 200 0.032 0.069 0.601 0.019 0.045 0.049
 200 0.050 0.044 0.516 0.019 0.042 0.046
 200 0.080 0.028 0.439 0.018 0.040 0.043
 250 0.005 0.552 1.161 0.027 0.059 0.065
 250 0.008 0.345 1.031 0.021 0.038 0.043
 250 0.013 0.212 0.810 0.017 0.032 0.036
 250 0.020 0.138 0.721 0.015 0.026 0.030
 250 0.032 0.086 0.606 0.013 0.022 0.026
 250 0.050 0.055 0.529 0.013 0.018 0.022
 250 0.080 0.035 0.430 0.012 0.015 0.019
 250 0.130 0.021 0.334 0.011 0.014 0.018
 250 0.250 0.011 0.239 0.008 0.018 0.019
 250 0.400 0.007 0.122 0.007 0.015 0.016
 
 300 0.005 0.663 1.214 0.041 0.068 0.079
 300 0.008 0.414 1.008 0.024 0.051 0.057
 300 0.013 0.255 0.851 0.020 0.032 0.038
 300 0.020 0.166 0.742 0.018 0.029 0.034
 300 0.032 0.104 0.630 0.015 0.023 0.028
 300 0.050 0.066 0.499 0.013 0.018 0.022
 300 0.080 0.041 0.456 0.012 0.018 0.022
 300 0.130 0.025 0.346 0.012 0.020 0.024
 300 0.250 0.013 0.250 0.008 0.020 0.022
 300 0.400 0.008 0.140 0.008 0.020 0.022
 
 400 0.008 0.552 1.013 0.031 0.052 0.061
 400 0.013 0.340 0.850 0.024 0.033 0.041
 400 0.020 0.221 0.742 0.021 0.027 0.035
 400 0.032 0.138 0.619 0.017 0.022 0.028
 400 0.050 0.088 0.513 0.015 0.019 0.025
 400 0.080 0.055 0.455 0.014 0.018 0.023
 400 0.130 0.034 0.373 0.014 0.017 0.022
 400 0.250 0.018 0.241 0.008 0.016 0.018
 400 0.400 0.011 0.155 0.010 0.018 0.020
 
 500 0.008 0.690 1.091 0.046 0.056 0.072
 500 0.013 0.425 0.922 0.030 0.048 0.057
 500 0.020 0.276 0.797 0.026 0.031 0.041
 500 0.032 0.173 0.655 0.022 0.026 0.034
 500 0.050 0.110 0.509 0.018 0.021 0.027
 500 0.080 0.069 0.445 0.016 0.016 0.023
 500 0.130 0.042 0.367 0.016 0.016 0.022
 500 0.180 0.031 0.286 0.014 0.015 0.021
 500 0.250 0.022 0.220 0.013 0.019 0.023
 500 0.400 0.014 0.143 0.012 0.022 0.025
 
 650 0.013 0.552 0.933 0.037 0.040 0.055
 650 0.020 0.359 0.727 0.030 0.028 0.041
 650 0.032 0.224 0.635 0.025 0.025 0.036
 650 0.050 0.144 0.522 0.021 0.020 0.030
 650 0.080 0.090 0.436 0.017 0.017 0.025
 650 0.130 0.055 0.413 0.019 0.019 0.027
 650 0.180 0.040 0.309 0.016 0.018 0.024
 650 0.250 0.029 0.246 0.015 0.021 0.026
 650 0.400 0.018 0.125 0.012 0.014 0.019
 650 0.650 0.011 0.020 0.003 0.003 0.004
 
 800 0.013 0.680 1.055 0.053 0.050 0.072
 800 0.020 0.442 0.812 0.037 0.035 0.051
 800 0.032 0.276 0.714 0.032 0.029 0.043
 800 0.050 0.177 0.542 0.025 0.021 0.033
 800 0.080 0.110 0.474 0.022 0.020 0.029
 800 0.130 0.068 0.369 0.020 0.018 0.027
 800 0.180 0.049 0.333 0.020 0.016 0.026
 800 0.250 0.035 0.208 0.016 0.012 0.020
 800 0.400 0.022 0.150 0.014 0.016 0.021
 800 0.650 0.014 0.018 0.004 0.003 0.005
 
 1000 0.020 0.552 0.779 0.042 0.030 0.051
 1000 0.032 0.345 0.647 0.036 0.027 0.045
 1000 0.050 0.221 0.569 0.029 0.022 0.036
 1000 0.080 0.138 0.432 0.023 0.016 0.028
 1000 0.130 0.085 0.384 0.023 0.018 0.030
 1000 0.180 0.061 0.340 0.023 0.015 0.027
 1000 0.250 0.044 0.243 0.019 0.013 0.023
 1000 0.400 0.028 0.111 0.013 0.015 0.020
 1000 0.650 0.017 0.013 0.003 0.002 0.004
 
 1200 0.020 0.663 0.774 0.056 0.029 0.063
 1200 0.032 0.414 0.657 0.042 0.025 0.049
 1200 0.050 0.265 0.536 0.032 0.019 0.037
 1200 0.080 0.166 0.450 0.027 0.016 0.031
 1200 0.130 0.102 0.391 0.027 0.014 0.030
 1200 0.180 0.074 0.337 0.025 0.016 0.030
 1200 0.250 0.053 0.249 0.022 0.017 0.027
 1200 0.400 0.033 0.129 0.016 0.011 0.019
 1200 0.650 0.020 0.017 0.004 0.003 0.005
 
 1500 0.020 0.828 0.855 0.079 0.043 0.090
 1500 0.032 0.518 0.601 0.049 0.026 0.055
 1500 0.050 0.331 0.494 0.036 0.019 0.040
 1500 0.080 0.207 0.461 0.031 0.017 0.036
 1500 0.130 0.127 0.377 0.030 0.015 0.034
 1500 0.180 0.092 0.345 0.030 0.014 0.033
 1500 0.250 0.066 0.267 0.025 0.015 0.029
 1500 0.400 0.041 0.109 0.016 0.009 0.018
 1500 0.650 0.025 0.009 0.003 0.002 0.004
 
 2000 0.032 0.690 0.653 0.059 0.027 0.065
 2000 0.050 0.442 0.559 0.049 0.024 0.054
 2000 0.080 0.276 0.436 0.036 0.017 0.040
 2000 0.130 0.170 0.343 0.033 0.015 0.036
 2000 0.180 0.123 0.331 0.033 0.016 0.037
 2000 0.250 0.088 0.248 0.027 0.015 0.030
 2000 0.400 0.055 0.113 0.017 0.009 0.019
 2000 0.650 0.034 0.011 0.004 0.002 0.005
 
 3000 0.050 0.663 0.558 0.041 0.023 0.047
 3000 0.080 0.414 0.481 0.037 0.020 0.042
 3000 0.130 0.255 0.356 0.032 0.017 0.036
 3000 0.180 0.184 0.327 0.030 0.013 0.033
 3000 0.250 0.133 0.242 0.024 0.012 0.027
 3000 0.400 0.083 0.126 0.016 0.011 0.019
 3000 0.650 0.051 0.012 0.004 0.002 0.004
 
 5000 0.080 0.690 0.412 0.043 0.019 0.047
 5000 0.130 0.425 0.429 0.045 0.021 0.050
 5000 0.180 0.307 0.235 0.031 0.011 0.033
 5000 0.250 0.221 0.222 0.031 0.015 0.034
 5000 0.400 0.138 0.126 0.022 0.011 0.024
 5000 0.650 0.085 0.012 0.005 0.002 0.005
 
 8000 0.130 0.680 0.367 0.061 0.018 0.063
 8000 0.180 0.491 0.338 0.052 0.022 0.056
 8000 0.250 0.353 0.300 0.045 0.021 0.050
 8000 0.400 0.221 0.094 0.023 0.009 0.025
 8000 0.650 0.136 0.012 0.005 0.002 0.006
 
 12000 0.180 0.736 0.232 0.080 0.010 0.080
 12000 0.250 0.530 0.165 0.053 0.010 0.054
 12000 0.400 0.331 0.093 0.031 0.011 0.033
 12000 0.650 0.204 0.015 0.009 0.004 0.009
 
 20000 0.250 0.884 0.188 0.116 0.010 0.117
 20000 0.400 0.552 0.206 0.074 0.020 0.076
 20000 0.650 0.340 0.023 0.016 0.010 0.019

 30000 0.400 0.828 0.438 0.315 0.042 0.318
