<x>    <Q2>   xg2      xg2 (stat)  xg2 (sys)  A2       A2 (stat)  A2 (sys)
0.009  0.38   0.0799   0.0521      0.0182     0.0257   0.0163     0.0057
0.018  0.68   0.0699   0.0513      0.0111     0.0269   0.0183     0.004
0.033  0.89   0.045    0.0326      0.0215     0.0278   0.0165     0.0109
0.039  1.37   -0.0047  0.0652      0.008      0.0033   0.0275     0.0035
0.044  1.8    0.3489   0.1279      0.0612     0.144    0.0507     0.0243
0.067  1.09   0.0044   0.0421      0.0097     0.019    0.0346     0.0085
0.069  1.88   0.0473   0.0357      0.0062     0.0402   0.021      0.0041
0.076  2.79   0.0202   0.0674      0.0323     0.0225   0.0342     0.0164
0.116  1.3    -0.0094  0.0506      0.0081     0.0266   0.0603     0.0111
0.118  2.44   0.0356   0.0301      0.0099     0.0584   0.0251     0.009
0.124  4.04   -0.0571  0.0466      0.0149     -0.0137  0.0311     0.0102
0.182  1.51   -0.0758  0.0642      0.023      -0.0466  0.1055     0.0389
0.183  3.01   0.0121   0.0324      0.0038     0.0707   0.0375     0.0074
0.187  5.42   -0.0334  0.044       0.0041     0.0143   0.0392     0.0052
0.282  1.95   0.0071   0.0396      0.0063     0.1675   0.0925     0.0167
0.298  3.99   -0.0242  0.0195      0.0055     0.0718   0.0363     0.0117
0.311  7.58   -0.0571  0.0283      0.0105     0.0039   0.0437     0.0166
0.458  2.83   -0.0613  0.0582      0.0129     0.0064   0.2616     0.0598
0.482  4.31   -0.0987  0.037       0.0104     -0.2064  0.1704     0.05
0.484  7.57   -0.0362  0.0183      0.0045     0.0421   0.0744     0.0206
0.63   4.76   0.2413   0.1194      0.0534     3.0231   1.3295     0.5969
0.658  6.79   -0.0129  0.032       0.0081     0.1197   0.435      0.1115
0.678  10.35  0.0076   0.016       0.0025     0.3672   0.2551     0.0419
