Pion production cross sections for proton and deuteron at x = 0.32 and Q^2=2.3 GeV^2

From the paper:
The experiment (E00-108) ran in the summer of 2003 in Hall C at Jefferson Lab. An electron beam with a
current ranging between 20 and 60 μA was provided by the CEBAF accelerator with a beam energy of 5.5 GeV.
Incident electrons were scattered from a 4-cm-long liquid hydrogen or deuterium target and detected in the Short
Orbit Spectrometer (SOS). The SOS central momentum remained constant throughout the experiment, with a value
of 1.7 GeV. The electroproduced mesons (predominantly pions) were detected in the High Momentum Spectrometer
(HMS), with momenta ranging from 1.3 to 4.1 GeV. The experiment consisted of two parts: i) at a fixed electron
kinematics of (x, Q2 ) = (0.32, 2.30 GeV2 ) the central HMS momentum was varied to cover a range of 0.3 < z < 1.0;
and ii) similarly, at z = 0.55, the electron scattering angle was varied, at constant momentum transfer angle, to span
a range in x from 0.22 to 0.58. Note that this corresponds to an increase in Q2 , from 1.5 to 4.2 GeV2 . The invariant
mass squared, W 2 , is typically 5.7 GeV2 and always larger than 4.2 GeV2 , well in the deep inelastic region, and all
measurements were performed for both π + and π − .
z     σp(π+) ±err     σp(π−) ±err     σd(π + ) ±err   σd (π−) ±err (nb/GeV^3-sr)
0.321 5.1022  0.9260 2.9520  0.6990 6.9866  1.2920 6.8482  3.3984
0.335 5.0775  0.3760 2.5860  0.2920 8.0795  0.5360 5.6131  1.2928
0.349 4.5875  0.2620 2.9750  0.2130 7.1233  0.3650 5.0146  0.8896
0.363 4.7595  0.2211 2.8503  0.1767 6.6510  0.3062 4.8947  0.7571
0.377 3.8615  0.1674 2.1376  0.1349 6.3132  0.2364 3.9476  0.5645
0.391 4.0219  0.1484 2.0030  0.1192 5.6805  0.2063 4.2287  0.5348
0.405 3.8327  0.1381 2.0858  0.1150 5.7105  0.1963 3.8901  0.4964
0.419 3.2211  0.1261 1.8373  0.1061 4.9272  0.1762 3.7896  0.4676
0.433 3.2277  0.1103 1.8290  0.0876 4.8902  0.1742 3.1669  0.3816
0.447 2.8839  0.1027 1.5252  0.0765 4.6133  0.1460 2.8639  0.3530
0.461 2.7786  0.1018 1.6006  0.0734 3.8764  0.1357 3.0718  0.3539
0.475 2.6399  0.1016 1.3224  0.0671 3.7653  0.1338 2.7262  0.3348
0.489 2.4154  0.0954 1.3694  0.0610 3.5153  0.1226 2.2797  0.2849
0.503 2.2102  0.0884 1.2570  0.0533 3.5419  0.1153 2.2285  0.2474
0.517 2.1440  0.0832 1.0879  0.0461 2.9755  0.1064 2.0947  0.2295
0.531 1.9303  0.0812 1.0323  0.0441 2.8307  0.1048 1.8624  0.2091
0.545 2.0077  0.0799 1.0071  0.0410 2.7786  0.1125 1.7867  0.1958
0.559 1.6436  0.0720 0.8803  0.0367 2.4638  0.0944 1.6663  0.1816
0.573 1.7433  0.0643 0.8498  0.0319 2.3350  0.0800 1.4832  0.1527
0.587 1.5925  0.0566 0.7649  0.0282 2.1198  0.0734 1.4626  0.1479
0.601 1.4067  0.0504 0.6474  0.0251 2.1260  0.0714 1.3834  0.1430
0.615 1.3711  0.0478 0.6604  0.0244 1.9290  0.0660 1.2753  0.1339
0.629 1.2301  0.0441 0.6232  0.0236 1.9385  0.0636 1.1877  0.1289
0.643 1.1113  0.0393 0.5993  0.0217 1.7834  0.0573 1.0988  0.1162
0.657 1.1037  0.0365 0.5978  0.0197 1.6701  0.0508 1.0364  0.1036
0.671 0.9497  0.0322 0.5131  0.0180 1.4767  0.0459 0.9665  0.0979
0.685 0.9577  0.0320 0.5469  0.0191 1.4249  0.0432 0.9206  0.0923
0.699 0.8742  0.0296 0.4948  0.0177 1.3854  0.0427 0.9392  0.0925
0.713 0.8428  0.0286 0.4895  0.0177 1.3738  0.0423 0.9225  0.0924
0.727 0.8349  0.0283 0.4788  0.0171 1.4706  0.0431 0.8840  0.0887
0.741 0.7730  0.0261 0.4720  0.0165 1.3586  0.0396 0.8252  0.0821
0.755 0.7029  0.0222 0.4195  0.0147 1.2689  0.0345 0.7955  0.0732
0.769 0.6755  0.0216 0.4409  0.0156 1.2450  0.0336 0.7247  0.0674
0.783 0.5922  0.0192 0.4336  0.0145 1.2769  0.0340 0.7418  0.0674
0.797 0.5987  0.0194 0.4654  0.0155 1.3623  0.0360 0.7660  0.0687
0.811 0.6461  0.0192 0.5136  0.0163 1.4704  0.0375 0.7862  0.0692
0.825 0.6808  0.0199 0.5425  0.0166 1.5252  0.0375 0.7965  0.0697
0.839 0.7641  0.0213 0.5979  0.0177 1.6375  0.0397 0.8278  0.0698
0.853 0.7667  0.0212 0.6530  0.0186 1.6277  0.0369 0.8383  0.0670
0.867 0.8048  0.0210 0.6553  0.0171 1.6313  0.0341 0.7840  0.0598
0.881 0.6894  0.0212 0.4966  0.0144 1.4526  0.0311 0.7161  0.0574
0.895 0.5098  0.0209 0.3664  0.0131 1.0932  0.0279 0.4969  0.0500
0.909 0.2692  0.0232 0.2400  0.0122 0.7644  0.0274 0.3685  0.0512
0.923 0.0222  0.0350 0.1380  0.0120 0.5219  0.0365 0.2641  0.0630
