"E=5.9GeV" "<Q^2>=4.32GeV^2"  	"E=5.9GeV" "<Q^2>=4.32 GeV^2"  
Q2(GeV^2) x g1(3He) g1_stat_Error(3He)	Q2(GeV^2) x g2 g2_stat_Error(3He)"
2.21566 0.229045 0.01784 0.120679	2.21566 0.229045 0.899545 0.247123
2.62553 0.276634 0.0255342 0.028905	2.62553 0.276634 0.0461954 0.0467377
3.03216 0.325175 -0.0134491 0.010515	3.03216 0.325175 0.0223252 0.0148556
3.42064 0.374062 -0.00404356 0.0062576	3.42064 0.374062 -0.000436283 0.00788866
3.80199 0.423817 -0.0112496 0.00482191	3.80199 0.423817 -0.00259709 0.00550416
4.16924 0.473761 -0.00787847 0.00401311	4.16924 0.473761 0.0026309 0.00416704
4.51452 0.523568 0.000454424 0.00342613	4.51452 0.523568 -1.11631e-05 0.0033066
4.84753 0.57333 0.000906583 0.00297023	4.84753 0.57333 0.00123102 0.00267289
5.17623 0.62385 0.000494641 0.0025964	5.17623 0.62385 -0.00160377 0.00218299
5.48618 0.673513 -0.000416585 0.00229938	5.48618 0.673513 -0.000308093 0.00181801
5.77745 0.72336 6.80316e-05 0.00200983	5.77745 0.72336 -0.00075817 0.00150698
6.0596 0.773111 0.000396196 0.00179349	6.0596 0.773111 0.000378369 0.00128249
6.32483 0.822604 0.000324346 0.00164949	6.32483 0.822604 -0.00329988 0.00118695
6.58504 0.872573 0.00026976 0.00150363	6.58504 0.872573 -0.000482951 0.000968225
6.88187 0.92104 -0.00187576 0.0014329	6.88187 0.92104 0.000393666 0.000890287
7.07523 0.972947 0.00145407 0.00118134	7.07523 0.972947 -0.00136612 0.000711074
   	   
"E=4.7GeV" "<Q^2>=3.21GeV^2"  	"E=4.7GeV" "<Q^2>=3.21GeV^2"  
Q2(GeV^2) x "g1(3He)" "g1_stat_Error(3He)"	Q2(GeV^2) x "g2(3He)" "g2_stat_Error(3He)"
1.72764 0.229951 0.0344043 0.0786949	1.72764 0.229951 0.302827 0.19155
2.03855 0.276948 -0.00905857 0.0165455	2.03855 0.276948 -0.00576818 0.0342854
2.34693 0.325162 -0.00867236 0.00795197	2.34693 0.325162 -0.000736925 0.0144487
2.63981 0.374136 0.000730419 0.00511426	2.63981 0.374136 -0.0257001 0.00897256
2.91481 0.423645 -0.01433 0.00413374	2.91481 0.423645 0.00132043 0.0058301
3.17639 0.4735 -0.00971664 0.00345101	3.17639 0.4735 -0.00198103 0.00452532
3.42474 0.523463 -9.74368e-06 0.00294224	3.42474 0.523463 -0.00462649 0.00366049
3.66154 0.573607 0.000459608 0.00260568	3.66154 0.573607 -0.0047109 0.00302324
3.88641 0.623422 0.00539979 0.00230663	3.88641 0.623422 7.92251e-05 0.00241225
4.09913 0.672986 0.0029269 0.00202616	4.09913 0.672986 -0.00209814 0.00201522
4.30695 0.723039 0.00231516 0.00178825	4.30695 0.723039 -0.00322858 0.00172535
4.50433 0.772575 -0.00149029 0.00160232	4.50433 0.772575 -0.00247672 0.00146807
4.69457 0.822515 -0.00142884 0.00144122	4.69457 0.822515 0.000839386 0.0012308
4.87562 0.873785 -0.00110017 0.00127803	4.87562 0.873785 -0.0022129 0.00108158
5.04039 0.92372 -0.00125006 0.00113671	5.04039 0.92372 0.000293186 0.000862046
5.21271 0.972433 0.000116521 0.000918682	5.21271 0.972433 0.000184595 0.000689792
