 q2    w2     x           sL        er_sL      sT         er_sT      R          er_R

0.750 1.325 0.62783     17.801     22.039     93.553     19.397  0.19027163   0.27492115
0.750 1.375 0.60261     73.233     26.739    110.538     23.374  0.66251701   0.38178149
0.750 1.425 0.57933     44.556     31.789    178.531     27.726  0.24957091   0.21673276
0.750 1.475 0.55779    -28.768     33.637    265.365     29.344 -0.10840875   0.11481059
0.750 1.525 0.53779     37.261     28.767    180.687     24.958  0.20621753   0.18760137
0.750 1.575 0.51918     -9.209     23.527    181.245     20.407 -0.05080723   0.12411281
0.750 1.625 0.50181     31.108     15.263    106.978     12.867  0.29078591   0.17754154
0.750 1.675 0.48556     17.906     12.851     96.774     10.784  0.18503261   0.15334490
0.750 1.725 0.47034     14.186     11.026     83.203      9.195  0.17049450   0.15128319
0.750 1.775 0.45604     20.817      9.958     69.282      8.246  0.30047628   0.17934990
0.750 1.825 0.44258     13.429      9.186     70.080      7.566  0.19162393   0.15168279
0.750 1.875 0.42990     14.258      8.815     67.111      7.217  0.21244834   0.15410174
0.750 1.925 0.41792     11.558      8.020     65.452      6.507  0.17658725   0.14001043
0.750 1.975 0.40659      7.406      7.607     67.345      6.127  0.10997684   0.12291116
0.750 2.025 0.39586     17.428      4.976     62.749      3.806  0.27773935   0.09595583
0.750 2.075 0.38568      5.621      5.165     75.442      3.935  0.07450713   0.07229694
0.750 2.125 0.37602     14.274      5.275     76.496      4.041  0.18660396   0.07870276
0.750 2.175 0.36682     26.012      5.947     80.690      4.462  0.32236794   0.09130649
0.750 2.225 0.35806     41.684      6.500     82.982      4.820  0.50232548   0.10714944
0.750 2.275 0.34972     15.222      6.468    102.300      4.791  0.14879596   0.07008854
0.750 2.325 0.34175     15.994      5.800     91.124      4.263  0.17552324   0.07173377
0.750 2.375 0.33414     10.242      5.079     83.612      3.713  0.12249441   0.06609304
0.750 2.425 0.32686     13.299      4.615     74.478      3.341  0.17856498   0.06984178
0.750 2.475 0.31988     14.351      4.298     68.612      3.084  0.20916070   0.07187307
0.750 2.525 0.31321     11.201      4.119     68.852      2.941  0.16267842   0.06664084
0.750 2.575 0.30680     14.410      4.025     65.978      2.838  0.21840911   0.07021227
0.750 2.625 0.30065     14.812      3.660     65.469      2.479  0.22625226   0.06428018
0.750 2.675 0.29474     17.183      3.696     67.945      2.473  0.25289896   0.06338226
0.750 2.725 0.28906     19.472      3.820     71.670      2.518  0.27169371   0.06260104
0.750 2.775 0.28360     13.458      3.958     80.374      2.584  0.16744003   0.05447420
0.750 2.825 0.27834     21.175      4.246     80.945      2.806  0.26160020   0.06125589
0.750 2.875 0.27326     20.608      4.033     77.659      2.633  0.26537079   0.06065157
0.750 2.925 0.26838     16.907      3.792     76.048      2.454  0.22232038   0.05679168
0.750 2.975 0.26366     16.153      3.566     72.708      2.283  0.22216819   0.05576958
0.750 3.050 0.25689     19.796      4.449     62.584      3.016  0.31631288   0.08603196
0.750 3.150 0.24838     17.394      4.668     58.957      2.940  0.29502639   0.09355336
0.750 3.250 0.24042     14.519      4.415     58.419      2.715  0.24853279   0.08683132
0.750 3.350 0.23295     13.682      4.245     58.079      2.542  0.23557959   0.08311661
0.750 3.450 0.22593     15.783      4.123     56.718      2.388  0.27827638   0.08404653
0.750 3.550 0.21932     19.770      4.045     55.546      2.260  0.35592192   0.08682759
0.750 3.650 0.21309     19.076      8.906     55.981      6.589  0.34076574   0.19891776
0.750 3.750 0.20721     15.822      8.385     57.680      6.108  0.27430382   0.17421775
0.750 3.850 0.20163     13.825      5.457     56.850      3.651  0.24317868   0.11139335
1.750 1.325 0.79741     -2.827      4.770     25.697      3.367 -0.11001740   0.17132938
1.750 1.375 0.77965      6.310      5.323     39.513      3.544  0.15968168   0.14885865
1.750 1.425 0.76266     16.653      6.019     41.398      3.932  0.40227550   0.18314208
1.750 1.475 0.74640     14.751      5.963     46.129      3.851  0.31978431   0.15559399
1.750 1.525 0.73081      5.230      5.589     46.855      3.523  0.11161331   0.12754339
1.750 1.575 0.71587      6.104      4.696     39.100      2.940  0.15611295   0.13163668
1.750 1.625 0.70152      2.685      3.848     34.924      2.402  0.07687539   0.11538488
1.750 1.675 0.68773      4.468      3.599     29.689      2.246  0.15050581   0.13241971
