Q^2 	 xB 	 F2  	  errF2  	  F1  	  errF1  	  FL  	  errFL
0.75	0.62783	0.0971977	0.0256268 	 0.185392 	 0.0384386 	 0.0442944 	 0.0548399
0.75	0.60261	0.180504	0.0348837 	 0.243683 	 0.0515284 	 0.194575 	 0.0710437
0.75	0.57933	0.243592	0.0460584 	 0.433374 	 0.0673032 	 0.125317 	 0.0894091
0.75	0.55779	0.284263	0.0536306 	 0.70329 	 0.0777697 	 -0.0850553 	 0.099451
0.75	0.53779	0.285642	0.0499136 	 0.519143 	 0.0717083 	 0.115148 	 0.088899
0.75	0.51918	0.244109	0.0441919 	 0.56113 	 0.0631796 	 -0.0296045 	 0.0756332
0.75	0.50181	0.210761	0.0304694 	 0.355045 	 0.0427038 	 0.103617 	 0.0508391
0.75	0.48556	0.187208	0.0273862 	 0.342755 	 0.0381949 	 0.0615881 	 0.0442013
0.75	0.47034	0.16917	0.0249387 	 0.313226 	 0.0346155 	 0.0502366 	 0.0390462
0.75	0.45604	0.16579	0.0237904 	 0.27626 	 0.0328807 	 0.0757091 	 0.0362162
0.75	0.44258	0.162125	0.0231041 	 0.295065 	 0.0318559 	 0.0500483 	 0.0342351
0.75	0.4299	0.166057	0.0232497 	 0.297516 	 0.0319944 	 0.0543467 	 0.0335998
0.75	0.41792	0.164668	0.0220834 	 0.304751 	 0.0302973 	 0.0449809 	 0.0312119
0.75	0.40659	0.166972	0.0218181 	 0.328577 	 0.0298937 	 0.0293834 	 0.0301808
0.75	0.39586	0.186578	0.0145784 	 0.320137 	 0.0194177 	 0.0703961 	 0.0200993
0.75	0.38568	0.196037	0.0157027 	 0.401711 	 0.020953 	 0.0230872 	 0.0212143
0.75	0.37602	0.227593	0.0166613 	 0.424357 	 0.0224172 	 0.0595497 	 0.0220068
0.75	0.36682	0.276823	0.0192885 	 0.465615 	 0.0257476 	 0.110119 	 0.0251761
0.75	0.35806	0.334006	0.0216804 	 0.497343 	 0.0288881 	 0.178907 	 0.0278979
0.75	0.34972	0.324572	0.0222301 	 0.6359 	 0.029781 	 0.0661813 	 0.0281212
0.75	0.34175	0.304468	0.0204597 	 0.586744 	 0.0274493 	 0.07039 	 0.025526
0.75	0.33414	0.274127	0.018376 	 0.557001 	 0.024735 	 0.0455964 	 0.0226112
0.75	0.32686	0.26308	0.0170759 	 0.512749 	 0.0230013 	 0.0598532 	 0.0207702
0.75	0.31988	0.254827	0.0162486 	 0.487676 	 0.0219203 	 0.0652576 	 0.0195441
0.75	0.31321	0.251671	0.0159114 	 0.504706 	 0.0215584 	 0.0514333 	 0.0189138
0.75	0.3068	0.258383	0.0158297 	 0.498351 	 0.0214362 	 0.066786 	 0.0186547
0.75	0.30065	0.263535	0.014511 	 0.509099 	 0.0192772 	 0.0692582 	 0.0171135
0.75	0.29474	0.285114	0.0148942 	 0.543502 	 0.0197819 	 0.0810236 	 0.0174279
0.75	0.28906	0.311156	0.0156197 	 0.589272 	 0.020703 	 0.0925565 	 0.0181576
0.75	0.2836	0.32624	0.0164344 	 0.678732 	 0.021821 	 0.0644613 	 0.0189581
0.75	0.27834	0.361302	0.0180064 	 0.701585 	 0.0243208 	 0.102169 	 0.0204869
0.75	0.27326	0.353528	0.0173276 	 0.690443 	 0.0234092 	 0.100133 	 0.0195961
0.75	0.26838	0.339786	0.0165106 	 0.693037 	 0.0223637 	 0.0827019 	 0.0185489
0.75	0.26366	0.329822	0.0157159 	 0.678812 	 0.0213144 	 0.0795234 	 0.0175559
0.75	0.25689	0.312476	0.0203877 	 0.605205 	 0.0291656 	 0.0983544 	 0.0221044
0.75	0.24838	0.29751	0.0214963 	 0.596417 	 0.0297415 	 0.08741 	 0.0234581
0.75	0.24042	0.291347	0.0207032 	 0.617007 	 0.0286752 	 0.073735 	 0.0224216
0.75	0.23295	0.293295	0.0202226 	 0.639313 	 0.0279814 	 0.0701676 	 0.0217703
0.75	0.22593	0.30268	0.0198915 	 0.649622 	 0.027351 	 0.0816833 	 0.0213382
0.75	0.21932	0.320692	0.0197293 	 0.660969 	 0.0268928 	 0.103191 	 0.0211132
0.75	0.21309	0.325498	0.0480436 	 0.691092 	 0.081342 	 0.100363 	 0.0468566
