F2 deuterium data from Simona Malace
JLab experiment E00106
PhD thesis, Hampton University, December 2006
                                                                                
= 0.0000   normalisation factor

     x         Q^2         F2d          i        stat        syst       dummy      dummy    
  0.4831      3.5853      0.2890      1.00      0.0038      0.0074     1.0000      1.0000   
  0.4904      3.6240      0.2854      2.00      0.0037      0.0073     1.0000      1.0000   
  0.4978      3.6628      0.2726      3.00      0.0036      0.0069     1.0000      1.0000   
  0.5052      3.7015      0.2644      4.00      0.0035      0.0067     1.0000      1.0000   
  0.5127      3.7403      0.2542      5.00      0.0034      0.0065     1.0000      1.0000   
  0.5202      3.7791      0.2417      6.00      0.0033      0.0061     1.0000      1.0000   
  0.5278      3.8178      0.2339      7.00      0.0032      0.0060     1.0000      1.0000   
  0.5355      3.8566      0.2294      8.00      0.0032      0.0058     1.0000      1.0000   
  0.5433      3.8953      0.2131      9.00      0.0030      0.0054     1.0000      1.0000   
  0.5511      3.9341      0.2019      10.00     0.0029      0.0051     1.0000      1.0000   
  0.5590      3.9729      0.1976      11.00     0.0029      0.0050     1.0000      1.0000   
  0.5669      4.0116      0.1944      12.00     0.0029      0.0049     1.0000      1.0000   
  0.5750      4.0504      0.1810      13.00     0.0027      0.0046     1.0000      1.0000   
  0.5830      4.0891      0.1778      14.00     0.0027      0.0045     1.0000      1.0000   
  0.5912      4.1279      0.1672      15.00     0.0026      0.0043     1.0000      1.0000   
  0.5995      4.1667      0.1589      16.00     0.0025      0.0040     1.0000      1.0000   
  0.6000      4.1691      0.1629      17.00     0.0016      0.0041     1.0000      1.0000   
  0.6097      4.2142      0.1574      18.00     0.0016      0.0040     1.0000      1.0000   
  0.6195      4.2593      0.1448      19.00     0.0014      0.0037     1.0000      1.0000   
  0.6294      4.3043      0.1379      20.00     0.0014      0.0035     1.0000      1.0000   
  0.6393      4.3494      0.1292      21.00     0.0013      0.0033     1.0000      1.0000   
  0.6495      4.3945      0.1217      22.00     0.0013      0.0031     1.0000      1.0000   
  0.6597      4.4395      0.1161      23.00     0.0012      0.0030     1.0000      1.0000   
  0.6700      4.4846      0.1090      24.00     0.0012      0.0028     1.0000      1.0000   
  0.6804      4.5297      0.1012      25.00     0.0011      0.0026     1.0000      1.0000   
  0.6910      4.5748      0.0921      26.00     0.0011      0.0023     1.0000      1.0000   
  0.7017      4.6198      0.0881      27.00     0.0010      0.0022     1.0000      1.0000   
  0.7125      4.6649      0.0805      28.00     0.0010      0.0020     1.0000      1.0000   
  0.7234      4.7100      0.0735      29.00     0.0009      0.0019     1.0000      1.0000   
  0.7344      4.7550      0.0685      30.00     0.0009      0.0017     1.0000      1.0000   
  0.7456      4.8001      0.0629      31.00     0.0008      0.0016     1.0000      1.0000   
  0.7568      4.8452      0.0584      32.00     0.0008      0.0015     1.0000      1.0000   
  0.7575      4.8476      0.0601      33.00     0.0006      0.0015     1.0000      1.0000   
  0.7707      4.9000      0.0540      34.00     0.0006      0.0014     1.0000      1.0000   
  0.7842      4.9524      0.0496      35.00     0.0005      0.0013     1.0000      1.0000   
  0.7979      5.0048      0.0428      36.00     0.0005      0.0011     1.0000      1.0000   
  0.8117      5.0572      0.0373      37.00     0.0004      0.0010     1.0000      1.0000   
  0.8257      5.1096      0.0333      38.00     0.0004      0.0009     1.0000      1.0000   
  0.8400      5.1620      0.0281      39.00     0.0004      0.0007     1.0000      1.0000   
  0.8544      5.2144      0.0234      40.00     0.0003      0.0006     1.0000      1.0000   
  0.8690      5.2668      0.0197      41.00     0.0003      0.0005     1.0000      1.0000   
  0.8838      5.3192      0.0160      42.00     0.0003      0.0004     1.0000      1.0000   
  0.8989      5.3717      0.0135      43.00     0.0002      0.0004     1.0000      1.0000   
  0.9141      5.4241      0.0115      44.00     0.0002      0.0003     1.0000      1.0000   
  0.9296      5.4765      0.0097      45.00     0.0002      0.0003     1.0000      1.0000   
  0.9453      5.5289      0.0072      46.00     0.0002      0.0003     1.0000      1.0000   
  0.5300      3.9954      0.2297      47.00     0.0038      0.0058     1.0000      1.0000   
  0.5379      4.0386      0.2234      48.00     0.0038      0.0057     1.0000      1.0000   
  0.5458      4.0817      0.2136      49.00     0.0036      0.0054     1.0000      1.0000   
  0.5538      4.1249      0.2039      50.00     0.0035      0.0052     1.0000      1.0000   
  0.5619      4.1681      0.1949      51.00     0.0034      0.0050     1.0000      1.0000   
  0.5700      4.2113      0.1907      52.00     0.0033      0.0049     1.0000      1.0000   
  0.5782      4.2545      0.1728      53.00     0.0032      0.0044     1.0000      1.0000   
  0.5865      4.2977      0.1685      54.00     0.0031      0.0043     1.0000      1.0000   
  0.5948      4.3409      0.1613      55.00     0.0030      0.0041     1.0000      1.0000   
  0.6032      4.3841      0.1571      56.00     0.0030      0.0040     1.0000      1.0000   
  0.6117      4.4273      0.1447      57.00     0.0029      0.0037     1.0000      1.0000   
  0.6203      4.4705      0.1372      58.00     0.0028      0.0035     1.0000      1.0000   
  0.6289      4.5137      0.1335      59.00     0.0027      0.0034     1.0000      1.0000   
  0.6376      4.5569      0.1253      60.00     0.0027      0.0032     1.0000      1.0000   
  0.6463      4.6001      0.1207      61.00     0.0026      0.0031     1.0000      1.0000   
  0.6552      4.6433      0.1098      62.00     0.0024      0.0028     1.0000      1.0000   
  0.6556      4.6455      0.1128      63.00     0.0014      0.0029     1.0000      1.0000   
  0.6660      4.6957      0.1078      64.00     0.0013      0.0027     1.0000      1.0000   
  0.6765      4.7460      0.1018      65.00     0.0012      0.0026     1.0000      1.0000   
  0.6871      4.7962      0.0970      66.00     0.0012      0.0025     1.0000      1.0000   
  0.6978      4.8464      0.0895      67.00     0.0012      0.0023     1.0000      1.0000   
  0.7086      4.8966      0.0841      68.00     0.0011      0.0021     1.0000      1.0000   
  0.7195      4.9468      0.0746      69.00     0.0010      0.0019     1.0000      1.0000   
  0.7305      4.9971      0.0698      70.00     0.0010      0.0018     1.0000      1.0000   
  0.7416      5.0473      0.0613      71.00     0.0009      0.0016     1.0000      1.0000   
  0.7529      5.0975      0.0560      72.00     0.0009      0.0014     1.0000      1.0000   
  0.7643      5.1477      0.0528      73.00     0.0008      0.0013     1.0000      1.0000   
  0.7757      5.1980      0.0481      74.00     0.0008      0.0012     1.0000      1.0000   
  0.7873      5.2482      0.0430      75.00     0.0008      0.0011     1.0000      1.0000   
  0.7991      5.2984      0.0402      76.00     0.0007      0.0010     1.0000      1.0000   
  0.8109      5.3486      0.0364      77.00     0.0007      0.0009     1.0000      1.0000   
  0.8229      5.3988      0.0322      78.00     0.0006      0.0008     1.0000      1.0000   
  0.8236      5.4018      0.0328      79.00     0.0004      0.0008     1.0000      1.0000   
  0.8377      5.4602      0.0263      80.00     0.0004      0.0007     1.0000      1.0000   
  0.8520      5.5186      0.0238      81.00     0.0004      0.0006     1.0000      1.0000   
  0.8664      5.5770      0.0193      82.00     0.0003      0.0005     1.0000      1.0000   
  0.8811      5.6354      0.0163      83.00     0.0003      0.0004     1.0000      1.0000   
  0.8959      5.6938      0.0123      84.00     0.0003      0.0003     1.0000      1.0000   
  0.9109      5.7522      0.0107      85.00     0.0003      0.0003     1.0000      1.0000   
  0.9262      5.8106      0.0095      86.00     0.0002      0.0003     1.0000      1.0000   
  0.9416      5.8690      0.0076      87.00     0.0002      0.0003     1.0000      1.0000   
  0.9572      5.9274      0.0059      88.00     0.0002      0.0003     1.0000      1.0000   
  0.5472      4.2816      0.2115      89.00     0.0036      0.0054     1.0000      1.0000   
  0.5551      4.3279      0.2017      90.00     0.0035      0.0051     1.0000      1.0000   
  0.5630      4.3742      0.1947      91.00     0.0034      0.0050     1.0000      1.0000   
  0.5709      4.4205      0.1832      92.00     0.0033      0.0047     1.0000      1.0000   
  0.5789      4.4668      0.1761      93.00     0.0032      0.0045     1.0000      1.0000   
  0.5869      4.5131      0.1671      94.00     0.0031      0.0043     1.0000      1.0000   
  0.5951      4.5593      0.1620      95.00     0.0030      0.0041     1.0000      1.0000   
  0.6032      4.6056      0.1548      96.00     0.0030      0.0039     1.0000      1.0000   
  0.6114      4.6519      0.1481      97.00     0.0029      0.0038     1.0000      1.0000   
  0.6197      4.6982      0.1306      98.00     0.0027      0.0033     1.0000      1.0000   
