 %DATA FILES USED:
%/u/ea/robine/e143/steve/p29para_newrc2_newbp2
%/u/ea/robine/e143/steve/p29perp_newrc2_newbp2
%/u/ea/robine/e143/steve/d29para_newrc2_newbp2
%/u/ea/robine/e143/steve/d29perp_newrc2_newbp2
%/u/ea/robine/e143/steve/p16para_newrc2_newbp2
%/u/ea/robine/e143/steve/d16para_newrc2_newbp2
%/u/ea/robine/e143/steve/p9para_newrc2_newbp2 
%/u/ea/robine/e143/steve/d9para_newrc2_newbp2 

 %ENEGIES USED: MIN-MAX=  9.720 29.130
 %SPECTROMETERS USED: MIN-MAX   1   2
 % change ==  to  
 ==documentstyle[prl,aps]{revtex}
 ==begin{document}
 ==begin{table}[t] 
 ==caption{Results for  $A_1$ in the DIS region ($W^2==geq 4 {==rm ~GeV^2}$). There is an additional normalization uncertainty due to beam and target polarization shown in Table~ ==protect==ref{tb:norm_err}.  }
 ==label{tb:a1}
 ==begin{tabular}{rrrrrr}
$x$ & $<Q^2>$ & E(GeV) & $A_1^p==pm {==rm stat} ==pm {==rm syst}$ & $A_1^d==pm {==rm stat} ==pm {==rm syst}$ & $A_1^n==pm {==rm stat} ==pm {==rm syst}$ ====
 ==hline
 0.024 &  0.51 &  16.2 & $ 0.091==pm 0.027==pm 0.014$ & $-0.049==pm 0.068==pm 0.009$ & $-0.205==pm 0.153==pm 0.023$ ====
 0.027 &  0.55 &  16.2 & $ 0.085==pm 0.026==pm 0.013$ & $-0.018==pm 0.065==pm 0.009$ & $-0.131==pm 0.146==pm 0.022$ ====
 0.027 &  1.17 &  29.1 & $-0.034==pm 0.068==pm 0.010$ & $-0.048==pm 0.092==pm 0.009$ & $-0.073==pm 0.225==pm 0.020$ ====
 0.031 &  0.59 &  16.2 & $ 0.084==pm 0.026==pm 0.012$ & $ 0.019==pm 0.065==pm 0.008$ & $-0.048==pm 0.144==pm 0.020$ ====
 0.031 &  1.27 &  29.1 & $ 0.063==pm 0.034==pm 0.009$ & $ 0.050==pm 0.040==pm 0.008$ & $ 0.044==pm 0.095==pm 0.019$ ====
 0.035 &  0.31 &   9.7 & $ 0.093==pm 0.037==pm 0.018$ & $-0.027==pm 0.055==pm 0.008$ & $-0.159==pm 0.125==pm 0.024$ ====
