 0.014 0.02 0.017 1.2 -0.058 0.019 0.018 -0.351 0.115 0.110 
 0.02 0.03 0.024 1.6 -0.080 0.015 0.014 -0.374 0.071 0.065
 0.03 0.04 0.035 2.0 -0.078 0.018 0.011 -0.290 0.061 0.039
 0.04 0.06 0.049 2.6 -0.086 0.016 0.010 -0.204 0.040 0.022
 0.06 0.10 0.081 4.4 -0.092 0.013 0.011 -0.137 0.021 0.016
 0.10 0.15 0.123 6.6 -0.106 0.014 0.012 -0.108 0.015 0.012
 0.15 0.20 0.173 8.2 -0.092 0.021 0.012 -0.061 0.014 0.009 
 0.20 0.30 0.242 9.8 -0.112 0.028 0.020 -0.042 0.011 0.007
 0.30 0.40 0.342 11.7 -0.068 0.065 0.025 -0.017 0.011 0.005 
 0.40 0.50 0.441 13.3 -0.003 0.142 0.022 -0.007 0.011 0.002 
 0.50 0.70 0.564 15.0 0.100 0.294 0.039 0.003 0.008 0.001 
