#: table_doi: 10.17182/hepdata.27033.v1/t3
#: name: Table 3
#: description: Values of A2 and X*G2 from proton and deuterium target data at mean electron scattering angle of 10.5 degrees and incident energy 29.1 GeV. Errors shown are statistical only.

#: data_file: Table3.yaml
#: keyword reactions: E- DEUT --> E- X | E- P --> E- X
#: keyword observables: A2 | G2
#: keyword phrases: Inclusive | Spin Dependent Structure Function | Virtual Photon Asymmetry | Electron production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 7.448
#: RE,E- P --> E- X
#: THETA(P=3) [deg],10.5
#: E(P=1) [GeV],29.1
#: SQRT(S) [GeV],7.448
'X','MEAN(NAME=Q**2) [GEV**2]','A2','error +','error -'
0.155,7.1,0.03,0.018,-0.018
0.245,9.9,0.018,0.016,-0.016
0.38,13.1,0.054,0.025,-0.025
0.58,16.3,0.09,0.068,-0.068
0.78,18.4,-0.182,0.259,-0.259

#: SYS,0.0016-0.0012*X////
#: RE,E- P --> E- X
#: THETA(P=3) [deg],10.5
#: E(P=1) [GeV],29.1
#: SQRT(S) [GeV],7.448
'X','MEAN(NAME=Q**2) [GEV**2]','X*G2','error +','error -'
0.155,7.1,-0.001,0.024,-0.024
0.245,9.9,-0.036,0.016,-0.016
0.38,13.1,-0.026,0.013,-0.013
0.58,16.3,-0.01,0.01,-0.01
0.78,18.4,-0.008,0.005,-0.005

#: RE,E- DEUT --> E- X
#: E(P=1) [GeV],29.1
#: THETA(P=3) [deg],10.5
'X','MEAN(NAME=Q**2) [GEV**2]','A2','error +','error -'
0.155,7.1,-0.023,0.032,-0.032
0.245,9.9,0.029,0.031,-0.031
0.38,13.1,0.035,0.052,-0.052
0.58,16.3,0.031,0.156,-0.156
0.78,18.4,0.795,0.625,-0.625

#: SYS,0.0009-0.0009*X////
#: RE,E- DEUT --> E- X
#: E(P=1) [GeV],29.1
#: THETA(P=3) [deg],10.5
'X','MEAN(NAME=Q**2) [GEV**2]','X*G2','error +','error -'
0.155,7.1,-0.042,0.039,-0.039
0.245,9.9,0.006,0.025,-0.025
0.38,13.1,-0.006,0.021,-0.021
0.58,16.3,-0.009,0.017,-0.017
0.78,18.4,0.01,0.009,-0.009

