#: table_doi: 10.17182/hepdata.27033.v1/t5
#: name: Table 5
#: description: Values of A2 and X*G2 from proton and deuterium target data at mean electron scattering angle of 5.5 degrees and incident energy 32.3 GeV. Errors shown are statistical only.

#: data_file: Table5.yaml
#: keyword reactions: E- DEUT --> E- X | E- P --> E- X
#: keyword observables: A2 | G2
#: keyword phrases: Inclusive | Spin Dependent Structure Function | Virtual Photon Asymmetry | Electron production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 7.841
#: RE,E- P --> E- X
#: THETA(P=3) [deg],5.5
#: E(P=1) [GeV],32.3
#: SQRT(S) [GeV],7.841
'X','MEAN(NAME=Q**2) [GEV**2]','A2','error +','error -'
0.061,2.7,-0.015,0.023,-0.023
0.098,3.5,0.017,0.007,-0.007
0.155,4.4,0.033,0.007,-0.007
0.245,5.3,0.041,0.009,-0.009
0.38,6.1,0.069,0.016,-0.016
0.58,6.7,0.126,0.038,-0.038
0.78,7.0,0.177,0.11,-0.11

#: SYS,0.0016-0.0012*X////
#: RE,E- P --> E- X
#: THETA(P=3) [deg],5.5
#: E(P=1) [GeV],32.3
#: SQRT(S) [GeV],7.841
'X','MEAN(NAME=Q**2) [GEV**2]','X*G2','error +','error -'
0.061,2.7,-0.041,0.042,-0.042
0.098,3.5,0.0,0.011,-0.011
0.155,4.4,-0.002,0.008,-0.008
0.245,5.3,-0.023,0.007,-0.007
0.38,6.1,-0.029,0.007,-0.007
0.58,6.7,-0.016,0.005,-0.005
0.78,7.0,-0.004,0.003,-0.003

#: RE,E- DEUT --> E- X
#: E(P=1) [GeV],32.3
#: THETA(P=3) [deg],5.5
'X','MEAN(NAME=Q**2) [GEV**2]','A2','error +','error -'
0.061,2.7,0.046,0.035,-0.035
0.098,3.5,0.004,0.011,-0.011
0.155,4.4,0.028,0.01,-0.01
0.245,5.3,0.034,0.015,-0.015
0.38,6.1,0.0,0.028,-0.028
0.58,6.7,0.078,0.074,-0.074
0.78,7.0,0.17,0.21,-0.21

#: SYS,0.0009-0.0009*X////
#: RE,E- DEUT --> E- X
#: E(P=1) [GeV],32.3
#: THETA(P=3) [deg],5.5
'X','MEAN(NAME=Q**2) [GEV**2]','X*G2','error +','error -'
0.061,2.7,0.077,0.061,-0.061
0.098,3.5,-0.003,0.016,-0.016
0.155,4.4,0.015,0.011,-0.011
0.245,5.3,0.003,0.01,-0.01
0.38,6.1,-0.024,0.009,-0.009
0.58,6.7,-0.008,0.007,-0.007
0.78,7.0,-0.002,0.004,-0.004

