#: table_doi: 10.17182/hepdata.27033.v1/t7
#: name: Table 7
#: description: The values of A2 and X*G2 from proton and deuterium target data for all the individual spectrometer data combined. Errors are statistical only.

#: data_file: Table7.yaml
#: keyword reactions: E- DEUT --> E- X | E- P --> E- X
#: keyword observables: A2 | X*G2
#: keyword phrases: Inclusive | Virtual Photon Asymmetry | Electron production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 7.841
#: RE,E- P --> E- X
#: E(P=1) [GEV],29.1 + 32.3
#: SQRT(S) [GeV],7.841
'X','MEAN(NAME=Q**2) [GEV**2]','A2','error +','error -'
0.021,0.8,-0.005,0.007,-0.007
0.026,0.9,-0.003,0.005,-0.005
0.038,1.1,0.011,0.004,-0.004
0.061,1.4,0.02,0.005,-0.005
0.098,2.3,0.023,0.004,-0.004
0.155,3.7,0.036,0.004,-0.004
0.245,5.0,0.048,0.005,-0.005
0.38,7.1,0.064,0.009,-0.009
0.58,8.4,0.092,0.023,-0.023
0.78,8.2,0.004,0.074,-0.074

#: SYS,0.0016-0.0012*X////
#: RE,E- P --> E- X
#: E(P=1) [GEV],29.1 + 32.3
#: SQRT(S) [GeV],7.841
'X','MEAN(NAME=Q**2) [GEV**2]','X*G2','error +','error -'
0.021,0.8,-0.018,0.016,-0.016
0.026,0.9,-0.014,0.01,-0.01
0.038,1.1,0.01,0.007,-0.007
0.061,1.4,0.011,0.006,-0.006
0.098,2.3,-0.003,0.005,-0.005
0.155,3.7,-0.007,0.004,-0.004
0.245,5.0,-0.022,0.004,-0.004
0.38,7.1,-0.031,0.004,-0.004
0.58,8.4,-0.018,0.003,-0.003
0.78,8.2,-0.007,0.002,-0.002

#: RE,E- DEUT --> E- X
#: E(P=1) [GEV],29.1 + 32.3
'X','MEAN(NAME=Q**2) [GEV**2]','A2','error +','error -'
0.021,0.8,0.003,0.011,-0.011
0.026,0.9,0.002,0.008,-0.008
0.038,1.1,-0.004,0.006,-0.006
0.061,1.4,0.003,0.007,-0.007
0.098,2.3,0.006,0.007,-0.007
0.155,3.7,0.026,0.007,-0.007
0.245,5.0,0.036,0.009,-0.009
0.38,7.1,0.029,0.017,-0.017
0.58,8.4,0.122,0.047,-0.047
0.78,8.2,0.228,0.142,-0.142

#: SYS,0.0009-0.0009*X////
#: RE,E- DEUT --> E- X
#: E(P=1) [GEV],29.1 + 32.3
'X','MEAN(NAME=Q**2) [GEV**2]','X*G2','error +','error -'
0.021,0.8,0.008,0.023,-0.023
0.026,0.9,0.006,0.015,-0.015
0.038,1.1,-0.007,0.01,-0.01
0.061,1.4,-0.001,0.009,-0.009
0.098,2.3,-0.001,0.007,-0.007
0.155,3.7,0.009,0.006,-0.006
0.245,5.0,0.0,0.005,-0.005
0.38,7.1,-0.015,0.005,-0.005
0.58,8.4,-0.004,0.005,-0.005
0.78,8.2,0.0,0.002,-0.002

