! E155 measurement of the virtual photon asymmetry A1 for a deuteron target.
! Beam Energy: 48.35 GeV; Scattering Angle: ~5.5  deg;                        
! Source: These data were previously unreleased.                                            
! 
! "x" pertains to the kinematic variable Bjorken x.                                       
!      The data presented here use E155's fine binning.                                    
! <x>  is the statistically weighted average value of x for a particular bin.               
! <Q2> is the statistically weighted average value of the 4-momentum transferred squared.   
! A1   is the virtual photon asymmetry.                                                     
!      A1 = (1./D_prime) * A_|| *( 1.+x_*M_*y_/(E_+Eprime_*cos(theta_)) )                   
!          - (g2ww/F1) * (4.*x_*M_*Eprime_*cos(theta_/2.)*cos(theta_/2.))                   
!               / (nu_*(E_+Eprime_*cos(theta_)))                                            
!      This is Equation 5 from PRD58:112003,(1998) (aka the E143 Long Paper). See the       
!      E143 Long Paper for details of the equation. The quantity g2WW was used for g2.      
! "stat" is the statistical error on A1.                                                  
! The angle (eg. 2.75, 5.5, or 10.5) represents the scattering angle at the                 
!       center of a particular spectrometer's acceptance. It is measured                   
!       relative to the beam direction. The angle "name" of the spectrometer              
!       is an approximate scattering angle for the electrons detected in that spectrometer. 
! Notes: 
!       
!------------- ~5.5  deg----deuteron----------!                    
! x bin range                                                                               
! low     high    <x>      <Q2>   A1    +-stat                                              
  0.052   0.059   0.057    4.00  -0.262   0.170 
  0.059   0.067   0.063    4.39   0.042   0.074 
  0.067   0.075   0.071    4.83  -0.005   0.048 
  0.075   0.084   0.080    5.30  -0.002   0.036 
  0.084   0.095   0.090    5.80   0.013   0.030 
  0.095   0.107   0.101    6.32   0.093   0.028 
  0.107   0.120   0.113    6.87   0.019   0.027 
  0.120   0.135   0.128    7.43   0.073   0.027 
  0.135   0.152   0.144    8.02   0.121   0.028 
  0.152   0.171   0.162    8.62   0.086   0.030 
  0.171   0.193   0.182    9.23   0.108   0.032 
  0.193   0.217   0.205    9.85   0.108   0.035 
  0.217   0.245   0.230   10.48   0.201   0.039 
  0.245   0.275   0.259   11.12   0.167   0.044 
  0.275   0.310   0.292   11.73   0.290   0.051 
  0.310   0.349   0.328   12.34   0.267   0.059 
  0.349   0.393   0.369   12.94   0.379   0.071 
  0.393   0.442   0.416   13.53   0.271   0.088 
  0.442   0.498   0.468   14.09   0.289   0.111 
  0.498   0.560   0.526   14.63   0.439   0.147 
  0.560   0.631   0.592   15.12   0.829   0.199 
  0.631   0.710   0.666   15.59   0.885   0.278 
  0.710   0.799   0.749   16.00   0.185   0.395 
  0.799   0.900   0.843   16.35   0.679   0.592 
