! E155 A_parallel for the proton and deuteron. 
! Beam Energy: 48.35 GeV; Scattering Angle: 2.75 deg; 
! Source: T.S. Toole, "A Precision Measurement of the Spin Structure Functions g1p and g1d", pg185, 
!         Ph. D. thesis, American University, (2000) unpublished. 
! 
!-----------------------------------2.75 deg-----------------------------------! 
!----------------proton----------------!!--------------deuteron----------------! 
!  <x>     <Q2>   A_||  +-stat  +-syst     <x>     <Q2>   A_||  +-stat  +-syst   
  0.014    1.00   0.031   0.041   0.004   0.014    1.00  -0.005   0.069   0.003 
  0.015    1.09   0.039   0.016   0.004   0.015    1.09  -0.006   0.028   0.001 
  0.017    1.20   0.048   0.012   0.004   0.017    1.20  -0.057   0.020   0.001 
  0.019    1.32   0.036   0.011   0.004   0.019    1.32  -0.003   0.019   0.001 
  0.022    1.45   0.034   0.011   0.004   0.022    1.45   0.003   0.019   0.001 
  0.024    1.59   0.040   0.010   0.004   0.024    1.59   0.014   0.018   0.001 
  0.027    1.73   0.046   0.009   0.004   0.027    1.73   0.005   0.017   0.001 
  0.031    1.88   0.045   0.009   0.004   0.031    1.88   0.016   0.017   0.001 
  0.035    2.04   0.054   0.009   0.004   0.035    2.04   0.000   0.016   0.001 
  0.039    2.22   0.036   0.009   0.005   0.039    2.21   0.015   0.016   0.001 
  0.044    2.40   0.061   0.008   0.005   0.044    2.39   0.068   0.015   0.001 
  0.049    2.59   0.067   0.008   0.005   0.049    2.58  -0.009   0.015   0.001 
  0.056    2.78   0.062   0.008   0.005   0.056    2.77  -0.009   0.015   0.001 
  0.063    2.97   0.065   0.009   0.005   0.063    2.97   0.004   0.015   0.001 
  0.071    3.17   0.070   0.009   0.005   0.071    3.17   0.033   0.015   0.001 
  0.079    3.37   0.086   0.009   0.006   0.079    3.36   0.045   0.015   0.001 
  0.089    3.57   0.063   0.009   0.006   0.089    3.57   0.027   0.015   0.001 
  0.101    3.77   0.074   0.009   0.006   0.101    3.77   0.038   0.016   0.001 
  0.113    3.97   0.048   0.009   0.006   0.113    3.97   0.036   0.016   0.001 
  0.127    4.17   0.064   0.009   0.006   0.128    4.17  -0.002   0.016   0.002 
  0.144    4.36   0.084   0.009   0.006   0.144    4.36   0.038   0.016   0.002 
  0.162    4.54   0.087   0.010   0.006   0.162    4.55   0.029   0.017   0.002 
  0.182    4.72   0.074   0.010   0.007   0.182    4.72   0.033   0.018   0.002 
  0.205    4.88   0.076   0.011   0.007   0.205    4.89   0.041   0.019   0.002 
  0.230    5.04   0.082   0.011   0.007   0.230    5.04   0.045   0.020   0.002 
  0.259    5.18   0.094   0.011   0.007   0.259    5.19   0.037   0.021   0.002 
  0.292    5.33   0.082   0.012   0.007   0.292    5.33   0.057   0.022   0.002 
  0.328    5.47   0.085   0.013   0.007   0.328    5.47   0.060   0.025   0.003 
  0.370    5.57   0.068   0.014   0.007   0.370    5.58   0.049   0.028   0.003 
  0.416    5.68   0.095   0.015   0.007   0.416    5.68   0.000   0.031   0.003 
  0.468    5.78   0.094   0.017   0.007   0.468    5.78   0.090   0.037   0.003 
  0.527    5.87   0.046   0.020   0.006   0.527    5.87   0.094   0.044   0.003 
  0.593    5.94   0.065   0.023   0.006   0.593    5.95   0.113   0.053   0.003 
  0.667    6.00   0.060   0.028   0.006   0.668    6.00  -0.020   0.062   0.003 
  0.751    6.06   0.077   0.032   0.006   0.751    6.07   0.089   0.069   0.003 
  0.846    6.12   0.129   0.045   0.005   0.846    6.12  -0.069   0.085   0.003 
