! E155 A_parallel for the proton and deuteron. 
! These data do not include Radiative Corrections. 
! Beam Energy: 48.35 GeV; Scattering Angle: 2.75 deg; 
! Source: T.S. Toole, "A Precision Measurement of the 
!         Spin Structure Functions g1p and g1d", pg238, 
!         Ph. D. thesis, American University, (2000) unpublished. 
! 
!--------------------------2.75 deg----------------------------! 
!--------------proton----------!!----------deuteron------------! 
! <x>      <Q2>   A_||  +-stat    <x>      <Q2>   A_||  +-stat     
  0.014    1.00   0.021   0.021   0.014    1.00   0.002   0.046 
  0.015    1.09   0.026   0.009   0.015    1.09   0.001   0.018 
  0.017    1.20   0.033   0.006   0.017    1.20  -0.032   0.013 
  0.019    1.32   0.028   0.006   0.019    1.32   0.003   0.012 
  0.022    1.45   0.029   0.006   0.022    1.45   0.007   0.012 
  0.024    1.58   0.034   0.006   0.024    1.59   0.015   0.012 
  0.027    1.73   0.039   0.006   0.027    1.73   0.009   0.011 
  0.031    1.89   0.041   0.006   0.031    1.88   0.016   0.011 
  0.035    2.04   0.048   0.006   0.035    2.04   0.006   0.011 
  0.039    2.22   0.037   0.006   0.039    2.21   0.016   0.011 
  0.044    2.40   0.056   0.006   0.044    2.39   0.054   0.011 
  0.049    2.59   0.061   0.006   0.049    2.58  -0.001   0.011 
  0.056    2.78   0.059   0.006   0.056    2.77  -0.001   0.011 
  0.063    2.97   0.062   0.006   0.063    2.97   0.009   0.012 
  0.071    3.17   0.067   0.007   0.071    3.17   0.032   0.012 
  0.079    3.37   0.080   0.007   0.079    3.36   0.043   0.012 
  0.089    3.57   0.064   0.007   0.089    3.57   0.028   0.013 
  0.101    3.77   0.072   0.007   0.101    3.77   0.039   0.013 
  0.113    3.97   0.051   0.008   0.113    3.97   0.037   0.014 
  0.128    4.17   0.064   0.008   0.128    4.17   0.003   0.014 
  0.143    4.36   0.082   0.008   0.144    4.36   0.039   0.015 
  0.162    4.54   0.085   0.009   0.162    4.55   0.031   0.016 
  0.182    4.72   0.073   0.009   0.182    4.72   0.035   0.017 
  0.205    4.88   0.075   0.010   0.205    4.89   0.042   0.018 
  0.230    5.04   0.080   0.010   0.230    5.04   0.046   0.020 
  0.259    5.18   0.092   0.011   0.259    5.19   0.037   0.021 
  0.292    5.33   0.080   0.012   0.292    5.33   0.058   0.023 
  0.328    5.46   0.083   0.013   0.328    5.47   0.061   0.026 
  0.370    5.58   0.064   0.015   0.370    5.58   0.049   0.030 
  0.416    5.68   0.094   0.017   0.416    5.68  -0.004   0.034 
  0.468    5.78   0.093   0.019   0.468    5.78   0.092   0.040 
  0.527    5.87   0.040   0.022   0.527    5.87   0.096   0.047 
  0.593    5.94   0.061   0.025   0.593    5.95   0.115   0.055 
  0.667    6.00   0.058   0.029   0.668    6.00  -0.023   0.063 
  0.751    6.06   0.078   0.033   0.751    6.07   0.092   0.072 
  0.846    6.12   0.125   0.042   0.846    6.12  -0.063   0.082 
