Table  V. (cont'd) pi* integral invariant crone sections																			
K0=9 GeV (P*max=2.000 GeV/c)																			
Plab	PT	P*L	Kmin	Hydrogen		Deuterion													
(GeV/c)	(GeV/c)	(GeV/C)	(GeV)	(pib/GeV2)		(pib/GeV2)													
4.0	1.125	0.504	4.84	1.05+-0.03	E-1														
4.0	1.250	0.413	5.09	2.99+-0.11	E-2														
4.0	1.375	0.310	5.41	9.40+-0.39	E-3														
4.0	1.500	0.197	5.82	2.77+-0.08	E-3	5.56+-0.15  E-3 												
4.0	1.625	0.072	6.34	6.63+-0.52	E-4														
4.0	1.750	-0.065	7.03	1.20+-0.17	E-4														
4.0	1.875	-0.215	7.98	2.74+-0.75	E-5														
5.0	1.002	0.869	5.61	2.14+-0.08	E-1														
5.0	1.125	0.806	5.80	7.47+-0.26	E-2														
5.0	1.250	0.734	6.02	2.22+-0.09	E-2														
5.0	1.375	0.654	6.30	5.80+-0.26	E-3														
5.0	1.500	0.566	6.63	1.51+-0.09	E-3														
5.0	1.625	0.469	7.05	4.10+-0.39	E-4														
5.0	1.750	0.363	7.55	1.24+-0.18	E-4														
5.0	1.875	0.249	8.20	2.60+-0.67 	E-5														
6.0	1.250	1.022	6.90	1.00+-0.05	E-2														
6.0	1.375	0.956	7.24	2.74+-0.09	E-3	5.31+-0.14  E-3													
6.0	1.500	0.883	7.54	6.84+-0.56 	E-4														
6.0	1.625	0.803	7.89	1.55+-0.12 	E-4	4.29+-0.28  E-4 												
6.0	1.750	0.717	8.32	2.01+-0.71	E-5														
7.0	1.500	1.172	8.47	1.47+-0.23	E-4														
																			
K0=11 GeV (P*max=2.222 GeV/c)																			
Plab	PT	P*L	Kmin	Hydrogen		Deuterion													
(GeV/c)	(GeV/c)	(GeV/c)	(GeV)	(pib/GeV2)		(pib/GeV2)													
1.0	0.500	-0.166	1.18	7.24+-0.10	E+1														
1.0	0.625	-0.385	1.32	2.41+-0.02	E+1														
1.0	0.750	-0.692	1.59	6.58+-0.07	E+0														
1.0	0.875	-1.148	2.27	5.67+-0.10	E-1														
2.0	0.500	0.229	2.15	3.16+-0.04	E+1														
2.0	0.625	0.135	2.25	1.36+-0.02	E+1														
2.0	0.750	0.017	2.38	5.37+-0.07	E+0														
2.0	0.875	-0.126	2.56	1.91+-0.03	E+0														
2.0	1.000	-0.297	2.81	6.12+-0.30	E-1														
2.0	1.125	-0.498	3.19	1.43+-0.02	E-1														
2.0	1.250	-0.736	3.79	3.42+-0.17	E-2														
7.0	1.375	-1.016	4.05	3.57+-0.39 	E-3														
3.0	0.625	0.430	3.33	7.87+-0.11	E+0														
3.0	0.750	0.354	3.34	3.45+-0.03	E+0														
3.0	0.875	0.263	3.49	1.51+-0.02	E+0														
3.0	1.000	0.158	3.68	5.19+-0.08	E-1														
3.0	1.125	0.036	3.92	1.66+-0.02	E-1														
3.0	1.250	-0.103	4.24	5.06+-0.14	E-2														
3.0	1.375	-0.260	4.67	1.38+-0.06	E-2														
3.0	1.500	-0.436	5.27	3.73+-0.12	E-3														
3.0	1.625	-0.632	6.15	7.33+-0.60	E-4														
4.0	0.075	0.554	4.47	1.12+-0.02	E+0														
4.0	1.001	0.476	4.63	4.65+-0.10	E-1														
4.0	1.125	0.388	4.84	1.35+-0.02	E-1														
4.0	1.250	0.288	5.09	4.73+-0.08	E-2														
4.0	1.375	0.176	5.41	2.13+-0.07 	E-2														
4.0	1.500	0.052	5.82	5.28+-0.18	E-3														
4.0	1.625	-0.084	6.34	1.37+-0.07	E-3														
4.0	1.750	-0.234	7.03	3.56+-0.23	E-4														
4.0	1.875	-0.398	7.99	6.98+-0.73	E-5														
4.0	2.000	-0.576	9.37	1.54+-0.52	E-5														
5.0	1.030	0.741	5.62	2.61+-0.05	E-1														
5.0	125	0.676	5.80	1.08+-0.01	E-1														
5.0	1.251	0.598	6.03	3.20+-0.06 	E-2														
5.0	1.375	0.511	6.30	1.05+-0.02	E-2														
5.0	1.500	0.414	6.63	3.92+-0.13	E-3														
5.0	1.625	0.308	7.05	1.49+-0.07 	E-3														
5.0	1.750	0.193	7.56	4.68+-0.29	E-4														
5.0	1.075	0.067	8.20	1.13+-0.11	E-4														
6.0	1.250	0.871	6.98	2.29+-0.06	E-2														
6.0	1.376	0.798	7.24	7.42+-0.32	E-3														
6.0	1.500	0.719	7.54	2.70+-0.11	E-3														
6.0	1.625	0.633	7.89	8.74+-0.44	E-4														
6.0	1.750	0.538	8.32	2.56+-0.18	E-4														
6.0	1.675	0.436	8.84	6.74+-1.10 	E-5														
6.0	2.000	0.327	9.47	2.56+-0.07	E-5														
7.0	1.500	0.994	8.47	1.59+-0.07	E-3														
1.0	1.625	0.920	8.80	3.95+-0.18	E-4														
7.0	1.751	0.840	9.18	1.17+-0.07	E-4														
7.0	1.875	0.754	9.63	3.00+-0.30	E-5														
8.0	1.625	1.186	9.74	1.59+-0.09 	E-4														
8.0	1.750	1.117	10.09	4.73+-0.40	E-5														
8.0	1.015	1.042	10.50	1.13+-0.38	E-5														
																			
K0=15 GeV (P*max=2.610 GeV/c)																			
Plab	PT	P*L	Kmin	Hydrogen		Deuterion													
(GeV/c)	(GeV/c)	(GeV/c)	(GeV)	(pib/GeV2)		(pib/GeV2)													
1.0	0.500	-0.249	1.18	8.50+-0.07	E+1	1.33+-0.01  E+2													
1.0	0.625	-0.502	1.32	2.72+-0.00	E+1														
1.0	0.750	-0.854	1.59	7.51+-0.09	E+0	1.21+-0.01  E+1													
1.0	0.875	-1.379	2.27	8.59+-0.13	E-1														
1.0	0.927	-1.703	3.10	1.70+-0.21	E-1														
2.0	0.500	0.147	2.15	4.46+-0.66 	E+1														
2.0	0.625	0.038	2.25	1.95+-0.03	E+1														
2.0	0.750	-0.097	2.38	7.16+-0.14	E+0														
2.0	0.075	-0.242	2.56	2.63+-0.05	E+0														
2.0	1.000	-0.458	2.01	8.15+-0.16	E-1														
																			
K0=15 GeV (P*max=2.610 GeV/c)																			
Plab	PT	P*L	Kmin	Hydrogen		Deuterion													
(GeV/c)	(GeV/c)	(GeV/C)	(GeV)	(pib/GeV2)		(pib/GeV2)													
2.0	1.125	-0.690	3.19	2.19+-0.05	E-1														
2.0	1.250	-0.963	3.79	4.97+-0.19	E-2														
2.0	1.375	-1.285	4.85	6.70+-0.67	E-3														
2.0	1.500	-1.668	7.31	6.65+-2.01	E-4														
3.0	0.625	0.319	3.23	1.27+-0.02	E+1														
3.0	0.750	0.231	3.35	5.44+-0.05	E+0														
3.0	0.875	0.128	3.49	2.13+-0.02	E+0														
3.0	1.000	0.006	3.68	8.02+-0.17	E-1														
3.0	1.125	-0.134	3.92	2.71+-0.03	E-1														
3.0	1.219	-0.252	4.15	1.18+-0.02	E-1														
3.0	1.250	-0.294	4.24	8.83+-0.22	E-2														
3.0	1.375	-0.474	4.67	2.74+-0.08	E-2														
