K0    P0max  Plab(GeV/c)  PT(GeV/c)  PL(GeV/c)  Kmin(Gev)  Deuterium(ub/GeV2)
5.0   1.417  1.0          0.625      -0.129     1.52       2.06e+1   0.03e+1
5.0   1.417  1.0          0.750      -0.350     1.83       6.57e+0   0.06e+0
5.0   1.417  1.0          0.875      -0.678     2.61       9.39e-1   0.15e-1
5.0   1.417  2.0          1.000      0.081      3.02       4.29e-1   0.06e-1
5.0   1.417  2.0          1.250      -0.235     4.07       3.37e-2   0.11e-2
5.0   1.417  3.0          0.750      0.697      3.51       9.81e-1   0.15e-1
5.0   1.417  3.0          1.125      0.468      4.12       4.12e-2   0.10e-2
7.0   1.714  1.0          0.625      -0.233     1.52       2.64e+1   0.03e+1
7.0   1.714  1.0          0.875      -0.861     2.61       1.30e+0   0.02e+0
7.0   1.714  3.0          0.750      0.544      3.51       2.57e+0   0.03e+0
7.0   1.714  3.0          1.125      0.282      4.12       1.42e-1   0.02e-1
7.0   1.714  5.0          1.002      1.034      5.78       7.95e-2   0.10e-2
7.0   1.714  5.0          1.375      0.841      6.49       1.84e-3   0.06e-3
9.0   1.967  1.0          0.625      -0.315     1.52       3.19e+1   0.05e+1
9.0   1.967  1.0          0.875      -1.014     2.61       1.54e+0   0.02e+0
9.0   1.967  4.0          1.000      0.586      4.80       4.46e-1   0.02e-1
9.0   1.967  4.0          1.500      0.197      6.03       6.50e-3   0.17e-3
9.0   1.967  6.0          1.375      0.956      7.42       4.99e-3   0.14e-3
9.0   1.967  6.0          1.625      0.804      8.09       4.56e-4   0.30e-4
15.0  2.584  1.0          0.500      -0.249     1.36       1.13e+2   0.01e+2
15.0  2.584  1.0          0.750      -0.855     1.83       1.20e+1   0.01e+1
15.0  2.584  4.0          1.000      0.314      4.81       1.09e+0   0.01e+0
15.0  2.584  4.0          1.375      -0.031     5.62       6.19e-2   0.13e-2
15.0  2.584  6.0          1.250      0.651      7.16       1.09e-1   0.02e-1
15.0  2.584  6.0          1.625      0.377      0.09       7.16e-3   0.21e-3
15.0  2.584  8.0          1.625      0.896      9.92       4.32e-3   0.13e-3
15.0  2.584  8.0          1.875      0.731      10.69      6.10e-4   0.30e-4
19.0  2.924  1.0          0.500      -0.317     1.36       1.12e+2   0.01e+2
19.0  2.924  1.0          0.750      -0.992     1.83       1.44e+1   0.03e+1
19.0  2.924  1.0          0.875      -1.577     2.61       2.34e+0   0.03e+0
19.0  2.924  4.0          1.125      0.081      5.02       5.83e-1   0.10e-1
19.0  2.924  4.0          1.500      -0.350     6.03       3.26e-2   0.08e-2
19.0  2.924  6.0          1.375      0.400      7.42       7.59e-2   0.16e-2
