K0       P*max    Plab     PT     P*L         Kmin        Hydrogen    Deuterion  
(GeV/c)  (GeV/c)  (GeV/C)  (GeV)  (pib/GeV2)  (pib/GeV2)  
9.0      2.0      4.0      1.500  0.197       5.82            5.56E-3   0.15E-3  
9.0      2.0      6.0      1.375  0.956       7.24            5.31E-3   0.14E-3  
9.0      2.0      6.0      1.625  0.803       7.89            4.29E-4   0.28E-4  
15.0     2.610    1.0      0.500  -0.249      1.18            1.33E+2   0.01E+2  
15.0     2.610    1.0      0.750  -0.854      1.59            1.21E+1   0.01E+1  
15.0     2.610    4.0      1.000  0.314       4.63            1.20E+0   0.02E+0  
15.0     2.610    4.0      1.375  -0.031      5.41            5.49E-2   0.12E-2  
15.0     2.610    6.0      1.250  0.651       6.98            1.12E-1   0.02E-1  
15.0     2.610    6.0      1.625  0.377       7.89            6.46E-3   0.20E-3  
15.0     2.610    8.0      1.625  0.856       9.74            3.90E-3   0.12E-3  
15.0     2.610    8.0      1.876  0.730       10.50           5.36E-4   0.33E-4  
19.0     2.947    1.0      0.500  -0.317      1.18            1.68E+2   0.02E+2  
19.0     2.947    1.0      0.750  -0.992      1.59            1.30E+1   0.03E+1  
19.0     2.947    1.0      0.875  -1.577      2.27            1.76E+0   0.05E+0  
19.0     2.947    4.0      1.125  0.081       4.84            5.48E-1   0.09E-1  
19.0     2.947    4.0      1.500  -0.350      5.82            2.55E-2   0.06E-2  
19.0     2.947    6.0      1.375  0.399       7.24            7.05E-2   0.12E-2  
19.0     2.947    6.0      1.750  0.066       8.32            4.16E-3   0.15E-3  
19.0     2.947    8.0      1.627  0.686       9.74            8.55E-3   0.28E-3  
19.0     2.947    8.0      1.876  0.502       10.50           1.39E-3   0.09E-3  
19.0     2.947    8.0      2.125  0.290       11.54           3.22E-4   0.37E-4  
